1787899708.8,0.00,0.00,72.6,1.04,2.99,0.29,0.43,0.67,2.64,0.64,0.41,0.81,0.75,0.83,0.55,0.41,0.34,0.45,0.56
1787899711.2,0.00,-0.00,86.5,3.00,0.50,0.35,0.56,2.65,0.97,0.40,0.32,0.81,0.80,0.58,0.45,0.35,0.45,0.50,0.82
1787899711.6,0.01,0.19,84.6,3.00,0.50,0.39,0.54,2.64,0.96,0.43,0.34,0.76,0.77,0.57,0.43,0.34,0.43,0.50,0.81
1787899712.2,0.06,0.45,84.4,2.87,0.50,0.20,0.43,1.21,1.30,0.62,0.43,0.81,0.87,0.61,0.41,0.37,0.40,0.48,0.72
1787899712.7,0.10,0.72,85.1,1.65,0.69,0.33,0.17,0.46,2.41,0.77,0.57,0.93,0.93,0.67,0.38,0.40,0.37,0.47,0.64
1787899713.3,0.11,1.00,84.5,2.03,0.59,0.31,0.23,0.16,2.42,0.89,0.69,1.02,1.07,0.57,0.41,0.40,0.35,0.41,0.69
1787899713.7,0.11,1.22,87.0,2.60,0.57,0.28,0.25,0.21,0.17,1.04,0.74,1.10,1.17,0.47,0.42,0.31,0.39,0.38,0.71
1787899714.1,0.11,1.45,85.0,2.50,0.65,0.32,0.22,0.22,0.21,0.23,0.82,1.16,1.23,0.51,0.37,0.34,0.33,0.41,0.67
1787899714.6,0.13,1.67,86.8,2.44,0.58,0.37,0.21,0.21,0.24,0.26,0.86,1.25,1.03,0.54,0.34,0.34,0.27,0.36,0.63
1787899715.0,0.14,1.89,87.3,2.77,0.56,0.32,0.25,0.18,0.23,0.31,0.94,1.34,1.04,0.52,0.37,0.26,0.33,0.40,0.62
1787899715.5,0.14,2.11,84.1,2.32,0.70,0.29,0.28,0.23,0.20,0.32,0.44,1.42,0.97,0.47,0.34,0.30,0.29,0.40,0.66
1787899715.9,0.17,2.33,85.4,2.24,0.64,0.39,0.25,0.25,0.22,0.28,0.48,1.49,0.99,0.47,0.30,0.29,0.30,0.39,0.64
1787899716.4,0.17,2.37,87.4,2.54,0.62,0.34,0.25,0.22,0.28,0.27,0.52,1.58,0.86,0.50,0.32,0.29,0.31,0.35,0.66
1787899716.8,0.17,2.37,87.9,2.89,0.60,0.33,0.25,0.23,0.27,0.30,0.55,1.58,0.86,0.38,0.32,0.29,0.32,0.35,0.66
1787899717.3,0.20,2.55,84.5,2.89,0.58,0.33,0.21,0.23,0.27,0.30,0.53,1.57,0.84,0.37,0.32,0.28,0.31,0.37,0.70
1787899717.7,0.22,2.79,85.9,2.05,0.78,0.31,0.29,0.21,0.26,0.31,0.56,1.67,0.92,0.39,0.28,0.29,0.31,0.34,0.61
1787899718.2,0.23,3.01,84.8,2.00,0.88,0.34,0.23,0.27,0.24,0.34,0.59,1.74,0.96,0.39,0.30,0.28,0.26,0.35,0.55
1787899718.6,0.24,3.23,88.2,1.89,0.83,0.36,0.25,0.23,0.29,0.30,0.49,1.81,1.04,0.40,0.30,0.25,0.23,0.36,0.46
1787899719.0,0.26,3.45,89.2,2.59,0.77,0.35,0.24,0.20,0.29,0.32,0.55,1.89,0.81,0.39,0.31,0.24,0.27,0.37,0.57
1787899719.5,0.27,3.68,88.6,2.11,0.95,0.46,0.26,0.25,0.24,0.37,0.59,1.98,0.70,0.41,0.25,0.25,0.27,0.34,0.49
1787899720.1,0.29,4.00,89.2,2.38,0.87,0.41,0.28,0.25,0.27,0.32,0.67,2.08,0.70,0.33,0.28,0.24,0.28,0.25,0.46
1787899720.6,0.29,4.22,90.1,2.26,0.86,0.44,0.34,0.24,0.29,0.35,0.57,2.17,0.64,0.32,0.27,0.27,0.20,0.33,0.44
1787899721.1,0.28,4.49,89.8,2.19,0.83,0.42,0.31,0.32,0.26,0.35,0.62,2.27,0.69,0.34,0.26,0.18,0.24,0.27,0.56
1787899721.5,0.30,4.71,82.9,1.78,0.96,0.41,0.35,0.32,0.30,0.33,0.69,2.35,0.78,0.35,0.20,0.22,0.23,0.23,0.52
1787899722.0,0.30,4.75,83.8,1.29,0.93,0.54,0.35,0.29,0.35,0.33,0.54,2.41,0.83,0.40,0.22,0.21,0.20,0.21,0.44
1787899722.4,0.30,4.75,86.6,1.29,0.93,0.54,0.34,0.31,0.34,0.34,0.55,2.42,0.82,0.40,0.22,0.22,0.20,0.22,0.44
1787899723.1,0.32,4.92,81.5,1.29,0.93,0.56,0.35,0.30,0.33,0.33,0.57,2.43,0.83,0.37,0.21,0.20,0.20,0.23,0.44
1787899723.8,0.34,5.05,79.0,0.88,1.97,0.55,0.45,0.32,0.32,0.43,0.58,2.10,0.94,0.29,0.23,0.17,0.16,0.24,0.34
1787899726.1,0.34,5.04,95.4,1.93,0.63,0.46,0.32,0.34,0.37,0.42,1.15,1.75,0.30,0.26,0.18,0.16,0.21,0.34,0.53
1787899726.5,0.32,5.23,94.3,1.95,0.63,0.50,0.32,0.33,0.39,0.42,1.13,1.75,0.32,0.27,0.18,0.17,0.19,0.33,0.54
1787899726.9,0.31,5.45,98.8,1.85,0.69,0.45,0.31,0.32,0.35,0.47,0.98,1.85,0.35,0.23,0.17,0.18,0.25,0.30,0.70
1787899727.4,0.30,5.67,94.1,1.79,0.66,0.40,0.38,0.27,0.36,0.52,0.81,2.71,0.42,0.21,0.20,0.23,0.24,0.26,0.66
1787899727.8,0.28,5.89,93.7,1.75,0.61,0.41,0.33,0.34,0.32,0.43,0.81,2.77,0.47,0.22,0.23,0.24,0.21,0.24,0.61
1787899728.4,0.25,6.17,96.4,1.66,0.69,0.39,0.30,0.33,0.34,0.45,0.70,2.84,0.56,0.30,0.26,0.21,0.18,0.24,0.52
1787899728.8,0.23,6.39,98.2,1.55,0.60,0.41,0.31,0.29,0.37,0.41,0.78,2.96,0.40,0.32,0.20,0.18,0.19,0.32,0.70
1787899729.3,0.21,6.62,95.2,1.49,0.71,0.37,0.29,0.29,0.36,0.41,0.82,3.00,0.46,0.33,0.19,0.19,0.22,0.35,0.67
1787899729.7,0.19,6.83,93.6,1.38,0.65,0.34,0.32,0.26,0.29,0.48,0.90,2.98,0.51,0.26,0.19,0.19,0.23,0.33,0.60
1787899730.1,0.19,7.05,96.2,1.34,0.59,0.36,0.29,0.28,0.32,0.50,0.78,3.00,0.56,0.26,0.22,0.23,0.24,0.30,0.54
1787899730.6,0.17,7.28,94.1,1.29,0.72,0.35,0.25,0.29,0.29,0.40,0.83,2.99,0.59,0.28,0.24,0.23,0.25,0.29,0.49
1787899731.1,0.14,7.54,91.6,1.17,0.68,0.36,0.28,0.25,0.34,0.41,0.88,3.00,0.46,0.28,0.26,0.23,0.22,0.36,0.65
1787899731.6,0.14,7.58,97.5,1.06,1.14,0.36,0.28,0.24,0.26,0.40,0.78,2.98,0.48,0.32,0.24,0.19,0.25,0.32,0.63
1787899732.0,0.14,7.58,95.4,1.05,1.17,0.36,0.27,0.25,0.27,0.37,0.78,3.00,0.47,0.34,0.23,0.21,0.25,0.34,0.63
1787899732.4,0.11,7.76,95.6,1.06,1.15,0.37,0.27,0.24,0.26,0.38,0.77,3.00,0.47,0.33,0.23,0.22,0.26,0.32,0.63
1787899732.9,0.09,7.98,92.7,0.97,1.04,0.33,0.27,0.23,0.27,0.40,0.81,3.00,0.47,0.34,0.21,0.23,0.27,0.30,0.60
1787899733.3,0.06,8.20,92.0,0.93,0.95,0.40,0.27,0.26,0.24,0.32,0.87,3.00,0.53,0.33,0.22,0.24,0.24,0.35,0.55
1787899733.8,0.06,8.43,91.5,0.87,0.89,0.39,0.24,0.26,0.26,0.32,0.68,3.00,0.59,0.31,0.26,0.22,0.18,0.33,0.49
1787899734.2,0.05,8.65,90.7,0.78,0.81,0.40,0.30,0.22,0.29,0.34,0.63,3.00,0.61,0.31,0.28,0.17,0.26,0.32,0.67
1787899734.6,0.03,8.87,92.9,0.72,0.71,1.00,0.30,0.26,0.25,0.36,0.68,3.00,0.67,0.35,0.18,0.24,0.28,0.29,0.64
1787899735.1,0.03,9.09,94.3,0.63,0.65,0.92,0.29,0.29,0.26,0.40,0.57,3.00,0.58,0.25,0.24,0.25,0.25,0.28,0.61
1787899735.5,-0.00,9.31,93.1,0.56,0.57,0.84,0.81,0.28,0.32,0.33,0.66,3.00,0.55,0.28,0.31,0.23,0.24,0.32,0.52
1787899736.0,-0.01,9.35,92.9,0.46,0.49,0.60,0.85,0.81,0.30,0.37,0.70,3.00,0.59,0.33,0.24,0.21,0.21,0.39,0.41
1787899739.5,-0.00,9.35,133.1,0.56,0.87,0.81,0.28,0.34,0.58,3.00,0.62,0.34,0.25,0.23,0.22,0.36,0.47,0.46,0.45
1787899739.9,-0.14,9.47,136.6,0.55,0.87,0.81,0.28,0.36,0.58,3.00,0.60,0.33,0.26,0.23,0.20,0.36,0.44,0.47,0.44
