1787896245.8,0.00,0.00,196.4,0.30,0.28,0.45,1.94,1.03,0.48,0.28,0.28,0.26,0.31,0.54,1.71,0.91,0.34,0.29,0.23,tick=76495 goal=0
1787896249.6,-0.00,-0.00,254.3,0.74,2.40,0.57,0.39,0.26,0.30,0.26,0.49,0.96,2.10,0.56,0.32,0.25,0.26,0.28,0.30,tick=76882 goal=0
1787896255.8,-0.01,0.02,105.2,0.74,0.33,0.29,0.21,0.27,0.23,0.43,2.35,1.00,0.49,0.28,0.29,0.26,0.32,0.56,2.10,tick=77489 goal=0
1787896261.9,-0.01,0.02,252.7,0.95,1.71,0.53,0.39,0.26,0.26,0.28,0.49,1.01,1.39,0.56,0.29,0.24,0.25,0.26,0.37,tick=78129 goal=0
1787896262.1,-0.03,-0.05,255.0,0.73,2.42,0.57,0.38,0.24,0.29,0.29,0.48,1.00,2.13,0.57,0.32,0.23,0.25,0.27,0.35,tick=78158 goal=0
1787896262.7,-0.06,-0.13,254.0,0.66,2.35,0.69,0.38,0.28,0.30,0.30,0.45,1.00,2.17,0.58,0.31,0.23,0.27,0.23,0.31,tick=78192 goal=0
1787896269.5,-0.06,-0.11,91.5,2.20,0.59,0.32,0.22,0.27,0.23,0.30,0.65,2.33,0.70,0.41,0.26,0.31,0.30,0.45,0.98,tick=78897 goal=0
1787896269.7,-0.06,-0.05,91.5,2.14,0.57,0.29,0.21,0.22,0.24,0.24,0.66,2.31,0.73,0.40,0.27,0.32,0.32,0.49,0.93,tick=78919 goal=0
1787896269.9,-0.06,0.01,92.6,2.11,0.58,0.31,0.23,0.23,0.26,0.23,0.49,2.32,0.76,0.41,0.25,0.33,0.32,0.49,0.93,tick=78940 goal=0
1787896270.1,-0.07,0.07,92.3,2.06,0.54,0.29,0.22,0.21,0.24,0.26,0.50,2.34,0.78,0.43,0.26,0.31,0.29,0.50,0.90,tick=78960 goal=0
1787896270.3,-0.08,0.13,94.3,2.04,0.52,0.29,0.23,0.21,0.28,0.26,0.50,2.38,0.79,0.44,0.28,0.27,0.30,0.49,0.91,tick=78981 goal=0
1787896270.7,-0.08,0.22,91.5,2.00,0.50,0.27,0.22,0.21,0.25,0.27,0.49,2.39,0.76,0.46,0.30,0.28,0.29,0.46,0.89,tick=79012 goal=0
1787896270.9,-0.08,0.28,89.9,1.99,0.49,0.26,0.23,0.18,0.23,0.32,0.49,2.43,0.69,0.45,0.33,0.28,0.29,0.47,0.89,tick=79033 goal=0
1787896271.1,-0.08,0.34,89.2,1.96,0.46,0.24,0.25,0.21,0.22,0.32,0.53,2.44,0.68,0.46,0.35,0.27,0.31,0.46,0.88,tick=79054 goal=0
