1787898385.3,-0.24,-3.03,-55.0
1787898385.5,-0.33,-2.99,-55.0
1787898385.7,-0.39,-2.96,-55.0
1787898385.8,-0.49,-2.92,-55.0
1787898386.0,-0.51,-2.91,-55.0
1787898392.6,-0.49,-2.91,-48.30000000000001
1787898392.7,-0.45,-2.90,-44.19999999999999
1787898393.0,-0.36,-2.91,-40.69999999999999
1787898393.1,-0.27,-2.90,-38.10000000000002
1787898393.2,-0.21,-2.90,-33.89999999999998
1787898393.4,-0.15,-2.89,-27.899999999999977
1787898393.6,-0.06,-2.89,-30.399999999999977
1787898393.7,0.03,-2.89,-26.399999999999977
1787898393.9,0.09,-2.89,-21.299999999999955
1787898394.0,0.15,-2.89,-23.5
1787898394.1,0.21,-2.89,-22.100000000000023
1787898394.3,0.28,-2.89,-15.200000000000045
1787898394.4,0.34,-2.89,-17.799999999999955
1787898394.6,0.45,-2.88,-16.700000000000045
1787898394.8,0.51,-2.87,-14.200000000000045
1787898394.9,0.58,-2.87,-11.899999999999977
1787898395.0,0.64,-2.87,-12.799999999999955
1787898395.2,0.70,-2.87,-13.799999999999955
1787898395.3,0.76,-2.87,-10.600000000000023
1787898395.6,0.84,-2.87,-8.5
1787898395.8,0.84,-2.87,-8.0
1787898395.9,0.84,-2.87,-10.0
1787898396.1,0.84,-2.87,-8.0
1787898396.3,0.84,-2.87,0.0
1787898396.6,0.84,-2.87,-55.0
1787898401.5,0.84,-2.89,-55.0
1787898401.7,0.83,-2.84,-55.0
1787898401.9,0.83,-2.82,-55.0
1787898407.1,0.84,-2.82,-55.0
1787898414.3,0.86,-2.83,-55.0
1787898414.5,0.82,-2.82,-55.0
1787898414.6,0.76,-2.81,-55.0
1787898414.7,0.69,-2.80,-55.0
1787898414.9,0.63,-2.79,-55.0
1787898415.0,0.57,-2.77,-55.0
1787898415.1,0.51,-2.77,-50.10000000000002
1787898415.3,0.48,-2.76,-45.30000000000001
1787898415.6,0.48,-2.76,-40.30000000000001
1787898415.8,0.49,-2.76,-40.60000000000002
1787898415.9,0.48,-2.76,-37.60000000000002
1787898416.1,0.48,-2.76,-35.19999999999999
1787898416.3,0.48,-2.76,-29.399999999999977
1787898416.4,0.48,-2.76,-23.399999999999977
1787898416.6,0.48,-2.76,-25.600000000000023
1787898416.7,0.48,-2.76,-25.399999999999977
1787898417.0,0.47,-2.76,-21.200000000000045
1787898417.2,0.48,-2.76,-18.600000000000023
1787898417.4,0.48,-2.76,-21.0
1787898417.6,0.48,-2.76,-18.399999999999977
1787898417.8,0.48,-2.76,-15.0
1787898418.0,0.47,-2.76,-14.600000000000023
1787898418.4,0.48,-2.76,-13.100000000000023
1787898420.4,0.85,-3.11,-10.899999999999977
1787898420.5,0.84,-3.10,-12.0
1787898420.7,0.78,-3.04,-10.600000000000023
1787898420.9,0.74,-3.00,-8.0
1787898421.0,0.70,-2.95,-11.100000000000023
1787898421.2,0.62,-2.87,-8.0
1787898421.5,0.55,-2.79,-8.600000000000023
1787898421.6,0.51,-2.75,-8.0
1787898421.8,0.49,-2.73,-8.0
1787898423.7,0.49,-2.73,0.0
1787898423.8,0.49,-2.72,26.287
1787898423.9,0.47,-2.69,26.328
1787898424.1,0.44,-2.64,27.528
