1787895903.8,0.00,0.00,252.9,0.48,1.88,0.84,0.47,0.36,0.36,0.42,0.50,1.05,1.42,0.25,0.17,0.13,0.10,0.19,0.25,tick=42296 goal=0,0,0,
1787895904.4,0.00,0.00,263.2,0.80,1.95,0.61,0.46,0.36,0.35,0.47,0.64,1.77,0.74,0.22,0.15,0.12,0.11,0.22,0.25,tick=42359 goal=0,0,0,
1787895905.1,-0.00,0.00,280.1,1.88,0.86,0.49,0.38,0.35,0.39,0.46,0.99,2.60,0.29,0.20,0.15,0.12,0.16,0.24,0.49,tick=42423 goal=0,0,0,
1787895905.7,0.02,-0.05,288.7,1.42,0.59,0.44,0.34,0.38,0.49,0.65,1.85,0.69,0.24,0.16,0.14,0.12,0.24,0.25,0.49,tick=42482 goal=0,0,0,
1787895906.2,0.04,-0.11,299.2,0.84,0.45,0.39,0.33,0.41,0.48,0.97,2.58,0.29,0.20,0.14,0.12,0.23,0.24,0.45,1.87,tick=42541 goal=0,0,0,
1787895906.8,0.08,-0.16,305.0,0.58,0.44,0.37,0.31,0.38,0.50,1.24,1.11,0.28,0.18,0.15,0.18,0.23,0.25,0.78,1.91,tick=42599 goal=0,0,0,
1787895907.5,0.12,-0.20,311.0,0.54,0.39,0.35,0.34,0.41,0.52,1.85,1.11,0.30,0.19,0.15,0.22,0.25,0.41,1.39,1.35,tick=42658 goal=0,0,0,
1787895908.1,0.17,-0.25,312.0,0.46,0.37,0.31,0.29,0.43,0.67,2.63,0.62,0.30,0.18,0.20,0.25,0.23,0.45,1.39,1.06,tick=42724 goal=0,0,0,
1787895908.7,0.21,-0.29,318.0,0.38,0.34,0.29,0.30,0.44,0.71,2.72,0.59,0.26,0.20,0.23,0.22,0.34,0.66,1.79,0.75,tick=42782 goal=0,0,0,
1787895909.2,0.26,-0.33,319.1,0.37,0.33,0.27,0.28,0.44,0.73,2.67,0.45,0.28,0.24,0.25,0.23,0.38,0.72,1.75,0.69,tick=42841 goal=0,0,0,
1787895909.8,0.30,-0.38,314.4,0.34,0.30,0.25,0.29,0.36,0.72,2.69,0.66,0.32,0.25,0.27,0.24,0.39,0.73,1.73,0.69,tick=42899 goal=0,0,0,
1787895910.5,0.31,-0.38,330.6,0.30,0.30,0.24,0.26,0.42,0.80,1.97,0.45,0.28,0.26,0.28,0.28,0.42,1.37,1.80,0.44,tick=42963 goal=0,0,0,
1787895911.2,0.30,-0.38,347.2,0.31,0.27,0.23,0.39,0.52,2.67,0.72,0.35,0.24,0.28,0.28,0.38,0.67,1.77,0.70,0.35,tick=43027 goal=0,0,0,
1787895911.8,0.30,-0.38,359.9,0.27,0.23,0.33,0.50,1.60,1.14,0.42,0.24,0.29,0.26,0.35,0.47,1.76,0.99,0.42,0.32,tick=43098 goal=0,0,0,
1787895912.4,0.30,-0.38,16.3,0.27,0.26,0.40,0.77,2.74,0.45,0.29,0.26,0.27,0.27,0.42,1.40,1.79,0.47,0.32,0.30,tick=43161 goal=0,0,0,
1787895913.1,0.30,-0.38,28.3,0.27,0.26,0.52,2.68,0.80,0.36,0.24,0.29,0.25,0.39,0.66,1.76,0.81,0.35,0.31,0.25,tick=43224 goal=0,0,0,
1787895913.8,0.30,-0.38,41.3,0.28,0.53,1.15,1.33,0.40,0.27,0.27,0.27,0.33,0.44,1.81,1.30,0.45,0.29,0.29,0.24,tick=43288 goal=0,0,0,
1787895914.5,0.30,-0.38,57.8,0.39,0.72,2.76,0.46,0.31,0.22,0.29,0.25,0.41,0.78,1.76,0.48,0.32,0.29,0.25,0.28,tick=43359 goal=0,0,0,
1787895915.1,0.30,-0.39,72.8,0.51,2.67,0.80,0.36,0.25,0.30,0.26,0.39,0.67,1.77,0.79,0.48,0.32,0.27,0.26,0.37,tick=43430 goal=0,0,0,
1787895915.7,0.31,-0.33,75.4,0.75,2.73,0.44,0.32,0.24,0.29,0.24,0.41,1.40,1.81,0.47,0.32,0.29,0.25,0.28,0.42,tick=43489 goal=0,0,0,
