01:50:43 === goto east start ===
01:52:09 pos=(1.27,1.14) h=207 tick=697845 goal=0 here=0 d5=0.716 f=1.48
01:52:11 pos=(0.77,0.88) h=202 tick=698052 goal=0 here=0 d5=0.679 f=0.90
01:52:12 pos=(0.56,0.77) d5=0.65
01:52:16 pos=(0.55,0.78) h=28 tick=698521 goal=0 here=0 d5=0.647 f=0.53
01:52:18 pos=(0.82,0.97) h=33 tick=698727 goal=0 here=0 d5=0.66 f=0.36
01:52:20 pos=(1.10,1.13) h=26 tick=698931 goal=0 here=0 d5=0.687 f=0.39
01:52:21 pos=(1.24,1.19) d5=0.70
01:52:24 pos=(1.25,1.18) h=229 tick=699309 goal=0 here=0 d5=0.703 f=0.32
01:52:24 pos=(1.23,1.16) d5=0.71
01:52:26 pos=(1.23,1.17) h=349 tick=699563 goal=0 here=0 d5=0.715 f=0.35
01:52:27 pos=(1.36,1.16) d5=0.73
01:52:30 pos=(1.37,1.15) h=231 tick=699906 goal=0 here=0 d5=0.727 f=0.31
01:52:30 pos=(1.35,1.14) d5=0.72
01:52:31 pos=(1.35,1.14) h=259 tick=700026 goal=0 here=0 d5=0.731 f=0.24
01:52:33 pos=(1.34,1.13) h=153 tick=700245 goal=0 here=0 d5=0.728 f=0.31
01:52:33 pos=(1.29,1.16) d5=0.72
01:52:35 pos=(1.29,1.16) h=210 tick=700443 goal=0 here=0 d5=0.712 f=1.41
01:52:37 pos=(0.80,0.90) h=207 tick=700646 goal=0 here=0 d5=0.693 f=0.89
01:52:38 pos=(0.58,0.80) d5=0.65
01:52:42 pos=(0.57,0.81) h=19 tick=701102 goal=0 here=0 d5=0.637 f=0.67
01:52:44 pos=(0.90,1.00) h=38 tick=701310 goal=0 here=0 d5=0.678 f=0.33
01:52:46 pos=(1.18,1.16) h=23 tick=701511 goal=0 here=0 d5=0.685 f=0.38
01:52:46 pos=(1.27,1.20) d5=0.70
01:52:47 pos=(1.27,1.20) h=348 tick=701665 goal=0 here=0 d5=0.706 f=0.32
01:52:48 pos=(1.31,1.19) h=6 tick=701758 goal=0 here=0 d5=0.699 f=0.31
01:52:48 pos=(1.33,1.19) d5=0.71
