1.0,81.4,0.1220,0.44
1.8,78.4,0.1200,0.45
2.7,80.6,0.1247,0.42
3.5,80.0,0.1255,0.45
4.3,84.3,0.1320,0.45
5.1,85.2,0.1232,0.44
16.2,218.3,0.1217,0.30
17.0,219.5,0.1283,0.31
17.9,216.4,0.1185,0.29
22.4,248.0,0.1212,0.35
23.2,250.5,0.1192,0.35
24.0,248.2,0.1182,0.33
24.8,249.7,0.1175,0.35
25.6,255.9,0.1220,0.36
26.4,255.9,0.1230,0.34
27.2,253.3,0.1125,0.38
29.9,271.8,0.1147,0.53
30.7,267.3,0.1130,0.49
31.5,268.4,0.1202,0.50
32.3,266.7,0.1177,0.50
33.2,266.5,0.1125,0.46
35.2,273.3,0.1095,0.68
36.3,274.8,0.1130,0.67
47.4,46.7,0.1157,0.29
48.3,46.2,0.1132,0.25
49.1,49.5,0.1133,0.28
49.9,47.6,0.1187,0.26
50.7,50.7,0.1155,0.23
51.5,52.6,0.1167,0.23
52.4,50.7,0.1258,0.22
63.5,292.2,0.1172,0.27
65.5,287.2,0.1187,0.32
66.3,283.9,0.1157,0.33
81.8,88.6,0.1220,0.52
92.9,323.4,0.1175,0.26
93.7,320.7,0.1232,0.25
94.5,317.5,0.1172,0.25
99.8,280.4,0.1212,0.72
100.6,280.8,0.1217,0.71
101.4,274.2,0.1217,0.69
102.3,276.6,0.1197,0.67
103.1,273.9,0.1222,0.64
103.9,271.8,0.1147,0.62
115.1,145.3,0.1295,0.39
115.9,143.2,0.1167,0.36
