0.3,-0.4,0.139
-4.0,-11.6,0.148
-0.1,-2.4,0.136
0.2,-4.4,0.151
-1.2,5.5,0.148
-3.1,14.8,0.154
-4.4,25.8,0.128
-6.1,35.1,0.13
-8.7,45.8,0.148
-10.1,55.7,0.143
-11.9,64.5,0.138
-13.4,75.4,0.128
-14.7,86.8,0.13
-16.6,96.1,0.115
-18.3,106.0,0.133
-20.2,114.3,0.131
-22.4,125.6,0.133
-24.6,135.8,0.128
-26.5,144.6,0.132
-29.5,155.2,0.139
-31.1,164.6,0.134
-33.5,173.3,0.122
-36.3,184.4,0.131
-38.4,193.7,0.135
-41.0,204.3,0.14
-43.4,213.5,0.127
-46.7,224.6,0.138
-48.8,233.8,0.131
-51.0,241.5,0.126
-54.7,252.9,0.134
-56.2,261.8,0.127
-59.3,272.9,0.137
-62.0,282.5,0.148
-64.8,291.6,0.15
-67.3,300.2,0.128
-70.3,310.8,0.123
-72.7,320.0,0.147
-75.0,330.3,0.148
-79.3,340.4,0.143
-82.3,349.4,0.132
-75.8,353.0,0.149
-84.5,348.1,0.137
-92.6,344.2,0.146
-102.2,338.9,0.136
-112.1,334.1,0.128
-120.4,330.6,0.121
-104.9,343.9,0.129
-112.5,338.3,0.129
-120.8,332.7,0.125
-128.9,326.9,0.131
-137.7,320.2,0.145
-146.5,313.7,0.134
-154.1,308.0,0.12
-162.0,302.7,0.127
-170.4,297.2,0.132
-177.3,292.3,0.142
-171.0,313.9,0.117
-173.8,304.8,0.135
-176.8,294.7,0.132
-178.7,286.4,0.144
-181.0,276.2,0.151
-183.0,265.9,0.126
-185.2,256.1,0.142
-187.0,245.8,0.137
-188.9,237.0,0.126
-190.9,227.7,0.122
-192.9,217.4,0.134
-194.5,207.5,0.133
-196.4,198.2,0.133
-197.8,189.3,0.127
-199.0,179.4,0.116
-200.3,169.0,0.123
-200.7,159.5,0.139
-201.3,149.0,0.121
-201.8,139.5,0.119
-201.9,129.5,0.114
-202.2,120.0,0.134
-202.2,110.0,0.129
-201.9,100.5,0.105
-201.3,89.5,0.132
-201.0,80.1,0.133
-200.5,70.1,0.126
-199.7,59.6,0.134
-198.9,49.1,0.149
-197.8,40.2,0.135
-197.6,30.7,0.124
-204.0,25.1,0.116
-201.5,25.4,0.11
-193.1,26.4,0.13
-182.2,27.8,0.136
-171.7,28.8,0.128
-162.2,29.7,0.131
-176.6,35.5,0.106
-168.2,31.2,0.135
-160.8,28.2,0.132
-151.3,23.5,0.122
-143.3,19.5,0.134
-158.0,30.7,0.109
-149.5,24.6,0.133
-143.2,19.7,0.132
-133.2,12.2,0.116
-124.8,5.8,0.134
-116.9,-0.3,0.124
-109.7,-5.7,0.119
-100.8,-12.2,0.121
-93.3,-18.0,0.128
-84.2,-23.2,0.137
-76.1,-29.1,0.149
-69.5,-34.4,0.15
-60.8,-41.2,0.133
-53.0,-46.6,0.135
-43.9,-52.8,0.14
-37.1,-57.9,0.129
-28.9,-63.5,0.127
-19.9,-70.0,0.13
-12.7,-74.5,0.133
-23.0,-100.5,0.114
-19.9,-91.5,0.117
-16.4,-82.7,0.143
-13.0,-74.4,0.13
-8.6,-63.7,0.122
-5.6,-55.2,0.147
-1.9,-45.4,0.136
1.6,-36.1,0.131
5.5,-25.8,0.138
8.1,-18.2,0.139
11.9,-6.8,0.131
15.1,3.2,0.125
17.9,11.7,0.14
21.0,20.2,0.146
24.3,30.7,0.138
27.7,39.6,0.143
30.9,48.5,0.142
34.6,58.9,0.144
37.3,67.4,0.14
40.6,77.9,0.149
43.8,87.9,0.15
46.3,97.1,0.151
49.2,105.6,0.144
51.8,115.3,0.146
54.2,126.0,0.132
56.8,133.6,0.154
60.0,144.1,0.159
62.5,154.3,0.148
65.2,163.4,0.146
66.0,166.3,0.158
65.7,164.8,0.139
66.0,166.3,0.135
65.8,165.3,0.155
65.7,164.8,0.152
65.5,164.3,0.151
66.1,166.3,0.148
66.1,166.3,0.148
65.7,164.8,0.139
65.9,165.3,0.153
65.9,165.3,0.137
65.7,164.8,0.144
66.0,165.8,0.133
66.0,165.8,0.123
65.7,164.8,0.16
65.7,164.8,0.137
65.7,164.8,0.134
65.7,164.8,0.139
65.9,165.3,0.137
66.2,166.2,0.145
66.1,165.8,0.148
66.1,165.8,0.136
65.8,164.8,0.147
65.8,164.8,0.149
66.0,165.3,0.149
66.2,166.2,0.138
65.8,164.8,0.147
66.0,165.3,0.137
66.0,165.3,0.16
66.1,165.7,0.144
65.8,164.8,0.148
66.1,165.7,0.146
66.1,165.7,0.151
66.1,165.7,0.145
65.8,164.8,0.141
65.7,164.3,0.137
66.0,165.8,0.147
66.1,166.3,0.141
65.8,165.3,0.15
65.8,165.3,0.154
66.1,166.3,0.132
65.7,164.8,0.155
65.6,164.3,0.157
65.6,164.3,0.134
65.7,164.8,0.136
65.8,165.3,0.141
66.0,165.8,0.144
65.8,164.8,0.143
65.8,164.8,0.161
66.1,165.7,0.146
66.0,165.3,0.141
66.0,165.3,0.136
65.7,164.3,0.135
66.1,165.8,0.161
66.1,165.8,0.137
66.1,165.8,0.134
65.8,164.8,0.154
66.1,165.8,0.141
66.1,165.8,0.148
65.8,164.8,0.123
66.0,165.8,0.132
65.9,165.3,0.149
65.9,165.3,0.14
66.0,165.8,0.127
65.8,165.3,0.136
66.2,166.2,0.133
66.0,165.8,0.149
65.8,164.8,0.15
66.1,165.8,0.147
65.9,164.8,0.141
66.0,165.3,0.134
65.8,164.3,0.144
66.0,165.3,0.142
66.1,165.7,0.15
66.3,166.2,0.141
66.1,165.2,0.15
65.8,164.3,0.148
66.0,164.8,0.154
66.1,165.2,0.153
66.0,164.7,0.138
66.1,165.2,0.149
66.2,165.7,0.143
66.2,165.7,0.142
65.9,164.8,0.126
66.1,165.2,0.139
66.3,166.2,0.134
65.8,164.8,0.151
65.8,164.8,0.135
66.0,165.3,0.145
66.0,165.3,0.133
65.9,164.8,0.135
66.2,165.7,0.149
66.3,166.2,0.143
66.3,166.2,0.134
66.3,166.2,0.13
66.3,166.2,0.151
65.9,164.8,0.128
66.2,165.7,0.151
66.1,165.2,0.148
66.3,166.2,0.138
66.2,165.7,0.15
66.2,165.7,0.156
66.0,164.8,0.145
66.2,165.7,0.139
66.1,165.2,0.147
66.1,165.2,0.143
66.3,165.7,0.15
66.1,165.2,0.148
65.8,164.3,0.135
66.0,165.3,0.142
65.9,164.8,0.125
66.1,165.8,0.151
66.0,165.3,0.143
66.1,165.8,0.13
65.8,164.8,0.129
66.0,165.3,0.155
65.8,164.8,0.141
66.0,165.3,0.171
65.8,164.8,0.142
65.8,164.8,0.142
65.7,164.3,0.143
65.7,164.3,0.152
66.1,165.7,0.146
66.1,165.7,0.145
66.1,165.7,0.142
66.0,165.3,0.145
65.9,164.8,0.139
66.2,165.7,0.153
66.2,165.7,0.151
66.4,166.2,0.145
66.4,166.2,0.133
66.3,165.7,0.145
66.3,165.7,0.142
66.0,164.7,0.147
66.1,165.2,0.147
66.3,165.7,0.151
66.3,165.7,0.143
66.0,164.7,0.143
65.9,164.3,0.146
66.3,165.7,0.139
66.4,166.2,0.142
65.9,164.8,0.147
66.0,165.3,0.136
66.0,165.3,0.145
66.0,165.3,0.14
65.9,164.8,0.147
66.2,165.7,0.125
66.0,165.3,0.146
66.3,166.2,0.15
66.0,165.3,0.141
65.7,164.3,0.143
66.0,165.3,0.126
66.0,165.3,0.144
66.0,165.3,0.138
65.9,164.8,0.13
66.1,165.7,0.156
66.3,166.2,0.144
66.2,165.7,0.149
65.7,164.3,0.144
65.8,164.8,0.142
66.1,165.8,0.147
66.0,165.3,0.15
66.2,166.2,0.128
66.1,165.8,0.141
65.9,164.8,0.14
66.0,165.3,0.15
66.1,165.7,0.143
66.1,165.7,0.148
65.8,164.3,0.138
66.1,165.2,0.144
66.2,165.7,0.148
65.9,164.8,0.138
65.9,164.8,0.133
66.2,166.2,0.155
66.2,166.2,0.154
66.0,165.3,0.14
65.9,164.8,0.142
66.1,165.7,0.134
65.8,164.8,0.143
65.7,164.3,0.138
66.1,165.7,0.14
66.1,165.7,0.129
66.0,165.3,0.144
65.7,164.3,0.139
65.8,164.8,0.133
66.0,165.3,0.151
66.0,165.3,0.132
66.3,166.2,0.148
66.0,165.3,0.136
66.3,166.2,0.145
66.2,165.7,0.136
72.6,158.1,0.136
56.5,132.8,0.155
66.0,131.9,0.129
56.5,132.9,0.14
46.6,134.1,0.134
35.7,135.9,0.152
27.3,137.2,0.137
16.9,138.3,0.138
6.6,140.2,0.15
-3.8,141.6,0.13
-14.2,143.4,0.13
-23.1,144.5,0.13
-33.4,146.7,0.141
-42.8,148.0,0.145
-52.1,149.9,0.135
-62.5,151.3,0.138
-72.8,153.2,0.153
-83.2,154.6,0.132
-93.1,156.4,0.134
-102.9,158.0,0.14
-91.4,147.0,0.137
-90.6,150.4,0.13
-88.9,159.8,0.121
-86.6,170.0,0.132
-84.7,179.3,0.142
-82.7,188.6,0.135
-80.2,198.8,0.138
-78.1,209.1,0.126
-76.1,217.9,0.14
-73.5,227.0,0.125
-70.5,237.1,0.128
-68.5,246.3,0.154
-65.6,257.0,0.138
-64.6,259.2,0.14
-61.1,268.1,0.136
-56.8,277.1,0.129
-52.9,284.6,0.146
-47.5,294.2,0.138
-42.7,303.6,0.143
-37.4,312.1,0.147
-31.0,322.2,0.146
-26.1,329.7,0.126
-19.2,338.3,0.133
-14.0,345.0,0.143
-7.8,354.1,0.144
-1.2,361.7,0.148
5.1,369.4,0.13
11.2,376.7,0.144
17.9,384.8,0.142
24.8,392.0,0.142
30.9,398.6,0.14
38.9,406.9,0.143
46.2,413.7,0.151
53.6,420.5,0.147
60.2,426.5,0.15
67.8,433.1,0.152
74.6,439.7,0.142
82.9,446.1,0.144
91.4,453.1,0.139
99.5,461.3,0.141
106.3,466.4,0.14
113.9,472.9,0.158
122.4,479.9,0.14
129.6,485.3,0.144
139.0,491.9,0.142
146.3,497.1,0.151
154.2,502.4,0.145
162.3,508.3,0.159
169.7,513.4,0.153
179.0,520.2,0.159
187.0,526.1,0.148
195.4,531.6,0.149
203.8,536.9,0.165
212.3,543.1,0.148
220.5,547.9,0.147
228.1,552.8,0.154
237.0,558.3,0.16
246.8,564.4,0.165
254.8,569.4,0.166
263.7,574.1,0.154
271.6,579.4,0.16
279.7,584.3,0.158
289.3,589.7,0.154
298.7,595.4,0.164
307.4,600.3,0.158
316.0,604.4,0.171
323.4,608.5,0.16
333.0,612.9,0.171
343.2,617.0,0.155
352.2,621.4,0.16
359.7,625.3,0.167
369.8,629.8,0.162
378.8,634.0,0.174
388.4,638.3,0.178
397.4,642.6,0.167
407.1,646.6,0.171
15.1,5.4,0.184
37.4,12.6,0.175
59.2,19.9,0.181
83.7,27.1,0.178
106.0,34.5,0.188
128.4,41.6,0.19
150.9,48.3,0.199
173.1,55.8,0.184
197.0,63.1,0.207
219.7,69.3,0.21
240.5,74.6,0.199
263.6,81.0,0.21
287.3,87.4,0.209
311.5,93.6,0.213
333.2,99.6,0.218
356.9,105.5,0.224
381.7,111.6,0.214
405.1,116.6,0.221
425.9,122.3,0.226
450.1,128.4,0.232
472.1,133.1,0.235
495.3,139.2,0.225
517.3,144.1,0.234
541.7,149.1,0.243
566.2,154.1,0.24
588.7,159.0,0.245
611.6,164.0,0.253
635.6,168.7,0.251
657.8,172.6,0.243
681.3,177.4,0.252
704.8,182.3,0.262
728.2,187.5,0.265
750.5,190.3,0.254
774.5,195.3,0.272
797.1,199.6,0.275
816.4,202.1,0.264
834.3,203.9,0.298
854.3,205.5,0.293
876.2,206.4,0.286
896.2,207.1,0.281
915.2,206.8,0.292
936.1,205.4,0.295
954.5,203.5,0.313
972.9,201.6,0.317
991.8,199.2,0.311
1012.4,195.5,0.295
1030.1,191.9,0.304
1052.0,186.9,0.329
1069.4,182.5,0.331
1090.0,176.3,0.327
1108.7,170.8,0.315
1128.9,163.5,0.322
1147.1,156.5,0.336
1164.6,149.0,0.343
1182.2,140.6,0.346
1197.3,132.9,0.338
