6.3,-8.4,37.5,102.9,0.701
8.4,-20.4,88.0,105.3,0.635
10.4,-33.7,138.8,102.7,0.608
12.5,-45.0,189.0,102.5,0.615
14.5,-52.2,241.9,97.0,0.625
16.6,-57.0,296.2,91.7,0.613
18.6,-59.7,352.6,91.2,0.600
20.8,-57.2,413.0,84.5,0.580
22.9,-53.2,471.3,88.2,0.542
24.9,-47.9,533.5,88.1,0.536
27.0,-41.3,596.1,83.5,0.481
29.0,-34.7,657.2,84.9,0.424
31.1,-24.7,719.4,81.8,0.373
33.1,-16.4,783.3,83.6,0.343
35.2,-7.3,845.1,79.5,0.338
37.3,3.4,906.2,79.3,0.310
39.4,14.4,970.7,82.5,0.267
41.4,25.6,1032.7,78.7,0.240
48.8,47.7,1081.5,26.2,0.275
50.9,96.1,1100.4,20.5,0.301
52.9,147.2,1116.2,13.3,0.455
55.0,198.6,1126.8,9.2,0.453
57.0,251.5,1134.4,3.7,0.475
59.2,305.7,1138.8,2.9,0.611
61.2,365.2,1139.7,0.4,0.630
63.3,425.7,1140.1,0.8,0.617
65.4,485.6,1138.0,355.2,0.649
67.5,546.9,1134.9,0.5,0.778
69.6,609.1,1129.0,355.5,0.764
71.6,670.8,1123.2,352.7,0.739
73.7,735.6,1114.5,354.3,0.721
75.8,791.9,1105.3,348.8,0.678
77.8,846.0,1093.0,346.1,0.684
79.9,895.1,1079.6,342.7,0.675
82.0,946.3,1062.6,339.5,0.628
84.0,996.0,1042.8,338.6,0.603
86.1,1043.0,1020.6,336.0,0.549
88.2,1089.9,994.0,328.2,0.525
90.3,1136.5,962.9,323.6,0.535
92.4,1177.8,930.5,324.4,0.533
94.5,1217.9,895.2,313.6,0.674
96.6,1252.7,857.3,312.9,0.666
98.7,1287.5,812.9,305.8,0.658
100.8,1316.2,770.8,302.2,0.632
102.8,1343.8,725.0,303.1,0.621
104.9,1371.2,682.0,302.0,0.595
107.0,1401.7,638.1,305.5,0.547
109.1,1433.5,596.4,309.3,0.486
111.1,1467.2,556.8,311.3,0.441
113.2,1503.4,519.4,314.0,0.448
115.2,1542.1,483.3,318.5,0.468
117.3,1581.7,449.6,321.5,0.469
119.4,1623.5,418.0,327.4,0.498
121.4,1666.9,388.6,331.5,0.477
123.5,1711.8,362.4,331.9,0.454
125.6,1757.5,338.7,334.0,0.489
127.6,1806.7,316.5,340.8,0.471
129.7,1854.0,297.6,342.9,0.473
131.8,1903.3,281.3,341.9,0.471
133.8,1955.5,267.7,347.3,0.701
135.9,2005.4,257.8,352.4,0.690
138.0,2058.4,250.9,353.9,0.641
140.1,2110.2,246.7,355.9,0.611
142.2,2163.2,245.5,4.3,0.544
144.3,2216.1,247.3,4.5,0.531
146.3,2267.4,251.6,7.8,0.506
148.4,2319.2,259.5,10.4,0.510
150.4,2370.2,269.6,11.2,0.484
152.5,2419.5,282.6,16.4,0.443
154.6,2471.2,299.6,20.3,0.393
156.7,2519.5,317.4,23.3,0.361
158.7,2568.4,340.2,24.3,0.338
160.9,2615.3,364.9,26.3,0.352
162.9,2660.0,391.3,32.4,0.317
165.0,2703.6,420.5,34.2,0.361
167.1,2744.5,451.0,35.7,0.676
169.1,2784.1,486.1,45.6,0.643
171.2,2822.1,521.5,48.4,0.600
173.2,2858.1,559.8,48.8,0.558
175.3,2892.2,599.6,48.4,0.543
177.4,2932.8,640.3,43.2,0.526
179.5,2975.6,680.8,45.9,0.525
181.5,3019.4,719.5,41.0,0.512
183.6,3065.4,755.7,38.8,0.478
185.7,3112.1,788.3,35.6,0.433
187.8,3161.3,820.7,32.1,0.432
189.9,3211.5,849.9,27.5,0.536
191.9,3263.4,876.7,24.9,0.553
194.1,3316.7,902.0,22.7,0.510
196.2,3372.0,923.9,17.5,0.526
198.2,3425.8,942.7,17.8,0.520
200.3,3485.5,962.6,18.8,0.920
202.4,3545.2,982.5,20.4,0.856
204.5,3606.7,1001.9,15.5,0.841
206.5,3666.6,1019.5,15.2,0.805
208.6,3727.6,1037.0,14.7,0.768
9.7,3.3,33.3,87.7,0.294,0.109,0
11.8,2.6,84.3,90.3,0.393,0.114,0
13.8,-0.1,136.2,93.7,0.387,0.100,0
15.9,-5.6,190.4,95.3,0.371,0.120,0
18.0,-13.9,241.2,104.1,0.544,0.119,0
20.1,-25.9,294.8,106.5,0.523,0.110,0
22.3,-41.0,346.1,105.4,0.484,0.112,0
24.3,-59.0,394.3,113.2,0.472,0.126,0
26.4,-79.9,441.9,115.8,0.461,0.105,0
28.5,-102.6,489.2,116.7,0.455,0.123,0
30.6,-128.1,536.7,119.4,0.429,0.126,0
32.7,-156.5,581.5,125.3,0.426,0.116,0
34.9,-187.8,626.7,128.3,0.373,0.124,0
37.0,-221.1,667.2,126.6,0.349,0.121,0
39.1,-257.6,706.9,133.2,0.326,0.111,0
41.1,-294.8,743.3,136.1,0.285,0.114,0
43.2,-334.2,778.7,141.3,0.261,0.103,0
45.3,-376.3,810.7,141.3,0.272,0.115,0
47.5,-420.6,840.7,147.0,0.677,0.108,0
49.6,-466.4,869.2,151.0,0.625,0.135,0
51.8,-514.2,894.2,155.1,0.544,0.121,0
53.9,-562.3,916.4,158.3,0.540,0.105,0
56.0,-611.2,939.2,155.2,0.540,0.115,0
58.0,-657.1,966.8,149.2,0.572,0.124,0
60.1,-701.2,997.0,144.9,0.558,0.114,0
62.3,-743.0,1031.1,139.4,0.520,0.107,0
64.3,-783.2,1068.6,132.6,0.472,0.107,0
66.4,-826.0,1112.7,135.4,0.461,0.108,0
68.5,-864.8,1157.1,128.2,0.456,0.125,0
70.6,-903.7,1202.1,127.9,0.462,0.105,0
72.6,-938.7,1248.2,126.3,0.515,0.107,0
74.7,-972.5,1296.6,121.6,0.506,0.105,0
76.9,-1005.0,1346.9,122.1,0.472,0.118,0
78.9,-1033.4,1396.9,118.5,0.434,0.109,0
81.0,-1061.6,1451.5,115.1,0.429,0.104,0
83.2,-1088.3,1505.2,111.6,0.423,0.126,0
85.2,-1112.0,1559.7,113.3,0.523,0.113,0
87.4,-1133.5,1615.1,110.1,0.533,0.115,0
