=== spiral start (1.23,0.29) ===
leg180/24.0 d=8.0 pose=(8.13,13.89) hdg=174
leg180/24.0 d=9.1 pose=(7.13,13.96) hdg=176
leg180/24.0 d=10.1 pose=(6.12,14.03) hdg=178
leg180/24.0 d=11.1 pose=(5.12,14.10) hdg=175
leg180/24.0 d=12.1 pose=(4.11,14.17) hdg=177
leg180/24.0 d=13.1 pose=(3.11,14.24) hdg=179
leg180/24.0 d=14.1 pose=(2.10,14.30) hdg=174
leg180/24.0 d=15.1 pose=(1.10,14.37) hdg=176
leg180/24.0 d=16.1 pose=(0.09,14.44) hdg=175
leg180/24.0 d=17.1 pose=(-0.91,14.52) hdg=178
leg180/24.0 d=18.1 pose=(-1.92,14.59) hdg=174
leg180/24.0 d=19.1 pose=(-2.92,14.66) hdg=174
leg180/24.0 d=20.1 pose=(-3.93,14.73) hdg=174
leg180/24.0 d=21.2 pose=(-4.93,14.79) hdg=177
leg180/24.0 d=22.2 pose=(-5.94,14.87) hdg=181
leg180/24.0 d=23.2 pose=(-6.94,14.94) hdg=177
leg result done at (-7.75,15.00)
leg270/24.0 d=0.0 pose=(-7.77,15.00) hdg=266
leg270/24.0 d=1.0 pose=(-7.84,13.99) hdg=268
leg270/24.0 d=2.0 pose=(-7.90,12.99) hdg=269
leg270/24.0 d=3.0 pose=(-7.98,11.98) hdg=266
leg270/24.0 d=4.0 pose=(-8.05,10.98) hdg=267
leg270/24.0 d=5.0 pose=(-8.11,9.97) hdg=272
leg270/24.0 d=6.0 pose=(-8.18,8.97) hdg=266
leg270/24.0 d=7.0 pose=(-8.25,7.96) hdg=263
leg270/24.0 d=8.0 pose=(-8.32,6.96) hdg=264
leg270/24.0 d=9.1 pose=(-8.39,5.95) hdg=263
leg270/24.0 d=10.1 pose=(-8.46,4.95) hdg=266
leg270/24.0 d=11.1 pose=(-8.53,3.94) hdg=267
leg270/24.0 d=12.1 pose=(-8.60,2.94) hdg=265
leg270/24.0 d=13.1 pose=(-8.67,1.91) hdg=269
leg270/24.0 d=14.1 pose=(-8.74,0.91) hdg=268
leg270/24.0 d=15.1 pose=(-8.81,-0.10) hdg=260
leg270/24.0 d=16.1 pose=(-8.88,-1.10) hdg=267
leg270/24.0 d=17.1 pose=(-8.95,-2.11) hdg=266
leg270/24.0 d=18.1 pose=(-9.02,-3.11) hdg=264
leg270/24.0 d=19.2 pose=(-9.09,-4.12) hdg=266
leg270/24.0 d=20.2 pose=(-9.16,-5.14) hdg=266
leg270/24.0 d=21.2 pose=(-9.23,-6.14) hdg=265
leg270/24.0 d=22.2 pose=(-9.30,-7.15) hdg=260
leg270/24.0 d=23.2 pose=(-9.37,-8.15) hdg=264
leg result done at (-9.42,-8.93)
leg0/29.0 d=0.0 pose=(-9.42,-8.95) hdg=354
leg0/29.0 d=1.0 pose=(-8.42,-9.02) hdg=355
leg0/29.0 d=2.0 pose=(-7.41,-9.09) hdg=354
leg0/29.0 d=3.0 pose=(-6.41,-9.16) hdg=358
leg0/29.0 d=4.0 pose=(-5.40,-9.23) hdg=359
leg0/29.0 d=5.0 pose=(-4.39,-9.30) hdg=354
leg0/29.0 d=6.0 pose=(-3.39,-9.37) hdg=357
=== spiral start (-3.39,-9.37) ===
leg0/29.0 d=0.0 pose=(-3.39,-9.37) hdg=5
leg0/29.0 d=2.7 pose=(-0.71,-9.60) hdg=353
leg0/29.0 d=5.4 pose=(1.97,-9.91) hdg=357
leg0/29.0 d=8.1 pose=(4.65,-10.18) hdg=356
leg0/29.0 d=10.8 pose=(7.33,-10.47) hdg=353
leg0/29.0 d=13.5 pose=(10.02,-10.75) hdg=355
leg0/29.0 d=16.2 pose=(12.70,-11.04) hdg=354
leg0/29.0 d=18.9 pose=(15.38,-11.33) hdg=352
leg0/29.0 d=21.6 pose=(18.06,-11.60) hdg=354
leg0/29.0 d=24.2 pose=(20.74,-11.90) hdg=350
leg0/29.0 d=26.9 pose=(23.42,-12.20) hdg=350
leg result done at (25.43,-12.41)
leg90/29.0 d=0.0 pose=(25.47,-12.41) hdg=87
leg90/29.0 d=2.7 pose=(25.75,-9.73) hdg=87
leg90/29.0 d=5.4 pose=(26.04,-7.05) hdg=82
leg90/29.0 d=8.1 pose=(26.32,-4.37) hdg=78
leg90/29.0 d=10.8 pose=(26.60,-1.69) hdg=87
leg90/29.0 d=13.5 pose=(26.89,1.00) hdg=87
leg90/29.0 d=16.2 pose=(27.18,3.68) hdg=79
leg90/29.0 d=18.9 pose=(27.48,6.35) hdg=84
leg90/29.0 d=21.6 pose=(27.77,9.04) hdg=88
leg90/29.0 d=24.2 pose=(28.05,11.72) hdg=84
leg90/29.0 d=26.9 pose=(28.34,14.40) hdg=84
leg result done at (28.56,16.41)
leg180/34.0 d=0.0 pose=(28.57,16.44) hdg=176
leg180/34.0 d=2.7 pose=(25.88,16.72) hdg=172
leg180/34.0 d=5.4 pose=(23.20,17.00) hdg=176
leg180/34.0 d=8.1 pose=(20.52,17.30) hdg=174
leg180/34.0 d=10.8 pose=(17.84,17.59) hdg=176
leg180/34.0 d=13.5 pose=(15.16,17.88) hdg=175
leg180/34.0 d=16.2 pose=(12.48,18.17) hdg=173
leg180/34.0 d=18.9 pose=(9.80,18.46) hdg=175
leg180/34.0 d=21.6 pose=(7.12,18.75) hdg=173
leg180/34.0 d=24.2 pose=(4.44,19.04) hdg=178
leg180/34.0 d=26.9 pose=(1.76,19.33) hdg=180
leg180/34.0 d=29.6 pose=(-0.92,19.62) hdg=172
leg180/34.0 d=32.3 pose=(-3.60,19.92) hdg=175
leg result done at (-5.24,20.10)
leg270/34.0 d=0.0 pose=(-5.28,20.11) hdg=264
leg270/34.0 d=2.7 pose=(-5.57,17.43) hdg=266
leg270/34.0 d=5.4 pose=(-5.85,14.75) hdg=262
leg270/34.0 d=8.1 pose=(-6.14,12.07) hdg=266
leg270/34.0 d=10.8 pose=(-6.42,9.39) hdg=265
leg270/34.0 d=13.5 pose=(-6.71,6.70) hdg=267
leg270/34.0 d=16.2 pose=(-7.00,4.02) hdg=265
leg270/34.0 d=18.9 pose=(-7.29,1.34) hdg=265
leg270/34.0 d=21.6 pose=(-7.60,-1.34) hdg=262
leg270/34.0 d=24.2 pose=(-7.89,-4.02) hdg=262
leg270/34.0 d=26.9 pose=(-8.16,-6.70) hdg=265
leg270/34.0 d=29.6 pose=(-8.46,-9.38) hdg=262
leg270/34.0 d=32.3 pose=(-8.75,-12.06) hdg=261
leg result done at (-8.91,-13.70)
leg0/39.0 d=0.0 pose=(-8.92,-13.74) hdg=1
leg0/39.0 d=2.7 pose=(-6.23,-14.00) hdg=353
leg0/39.0 d=5.4 pose=(-3.55,-14.29) hdg=352
leg0/39.0 d=8.1 pose=(-0.87,-14.59) hdg=356
leg0/39.0 d=10.8 pose=(1.81,-14.87) hdg=354
leg0/39.0 d=13.5 pose=(4.48,-15.20) hdg=358
leg0/39.0 d=16.2 pose=(7.16,-15.48) hdg=354
leg0/39.0 d=18.9 pose=(9.85,-15.77) hdg=352
leg0/39.0 d=21.6 pose=(12.53,-16.04) hdg=354
leg0/39.0 d=24.2 pose=(15.21,-16.35) hdg=352
leg0/39.0 d=26.9 pose=(17.89,-16.64) hdg=356
leg0/39.0 d=29.6 pose=(20.57,-16.94) hdg=352
leg0/39.0 d=32.4 pose=(23.26,-17.21) hdg=356
leg0/39.0 d=35.1 pose=(25.94,-17.48) hdg=355
leg0/39.0 d=37.8 pose=(28.62,-17.77) hdg=354
leg result done at (29.86,-17.91)
leg90/39.0 d=0.0 pose=(29.89,-17.92) hdg=90
leg90/39.0 d=2.7 pose=(30.17,-15.24) hdg=85
leg90/39.0 d=5.4 pose=(30.47,-12.55) hdg=86
leg90/39.0 d=8.1 pose=(30.74,-9.86) hdg=88
leg90/39.0 d=10.8 pose=(31.03,-7.18) hdg=84
leg90/39.0 d=13.5 pose=(31.34,-4.50) hdg=84
leg90/39.0 d=16.2 pose=(31.63,-1.82) hdg=85
leg90/39.0 d=18.9 pose=(31.94,0.86) hdg=81
leg90/39.0 d=21.6 pose=(32.22,3.54) hdg=84
leg90/39.0 d=24.3 pose=(32.53,6.22) hdg=82
leg90/39.0 d=27.0 pose=(32.81,8.90) hdg=84
leg90/39.0 d=29.7 pose=(33.09,11.58) hdg=82
leg90/39.0 d=32.4 pose=(33.37,14.26) hdg=84
leg90/39.0 d=35.1 pose=(33.66,16.95) hdg=81
leg90/39.0 d=37.8 pose=(33.94,19.63) hdg=81
leg result done at (34.08,20.83)
leg180/44.0 d=0.0 pose=(34.09,20.86) hdg=176
leg180/44.0 d=2.7 pose=(31.41,21.16) hdg=176
leg180/44.0 d=5.4 pose=(28.73,21.45) hdg=177
leg180/44.0 d=8.1 pose=(26.05,21.75) hdg=172
leg180/44.0 d=10.8 pose=(23.37,22.03) hdg=177
leg180/44.0 d=13.5 pose=(20.69,22.31) hdg=175
leg180/44.0 d=16.2 pose=(18.01,22.62) hdg=174
leg180/44.0 d=18.9 pose=(15.33,22.92) hdg=172
leg180/44.0 d=21.5 pose=(12.65,23.23) hdg=172
