# start d11=0.447
P,0,0.434,3066.04
P,60,0.418,3047.17
P,-60,0.41,-9.43
P,120,0.418,3075.47
P,-120,0.421,18.87
P,180,0.436,3018.87
R,0.429,2198.11,True
P,0,0.422,9.43
P,60,0.443,3084.91
P,-60,0.435,9.43
P,120,0.451,3000.00
P,-120,0.448,943.40
P,180,0.454,1103.77
R,0.452,37.74,True
P,0,0.465,66.04
P,60,0.445,3160.38
P,-60,0.457,3018.87
P,120,0.429,3028.30
P,-120,0.442,3037.74
P,180,0.437,3066.04
R,0.452,1575.47,True
P,0,0.446,18.87
P,60,0.446,3056.60
