0,0.802,0.798,0.00,True
3,0.798,0.798,0.31,False
6,0.798,0.798,0.00,True
8,0.798,0.881,0.32,False
12,0.881,0.896,0.09,True
15,0.896,0.856,0.29,True
19,0.856,0.903,0.29,True
22,0.903,0.784,0.31,False
23,0.784,0.758,0.30,True
25,0.758,0.752,0.00,True
28,0.752,0.765,0.31,False
31,0.765,0.758,-0.00,True
32,0.758,0.779,0.31,False
35,0.779,0.804,0.12,True
37,0.804,0.768,0.31,False
40,0.768,0.688,0.06,True
43,0.688,0.615,0.31,False
45,0.615,0.601,0.31,False
47,0.601,0.609,-0.00,True
50,0.609,0.594,0.08,True
52,0.594,0.627,0.26,True
54,0.627,0.639,0.31,False
57,0.639,0.625,0.17,True
60,0.625,0.607,0.31,False
63,0.607,0.603,0.00,True
66,0.603,0.580,0.31,False
68,0.580,0.569,0.00,True
71,0.569,0.573,0.31,False
74,0.573,0.577,-0.00,True
76,0.577,0.614,0.31,False
79,0.614,0.686,0.31,False
82,0.686,0.690,0.30,True
85,0.690,0.661,-0.00,True
88,0.661,0.669,0.11,True
91,0.669,0.710,0.31,False
93,0.710,0.790,0.31,False
97,0.790,0.784,-0.00,True
98,0.784,0.799,0.31,False
101,0.799,0.795,0.01,True
104,0.795,0.766,0.30,False
107,0.766,0.808,0.31,False
109,0.808,0.796,0.31,False
112,0.796,0.827,0.12,True
116,0.827,0.833,0.22,True
117,0.833,0.851,0.31,False
120,0.851,0.843,-0.00,True
122,0.843,0.849,0.16,True
126,0.849,0.857,0.00,True
126,0.857,0.855,-0.00,True
127,0.855,0.823,0.31,False
130,0.823,0.814,0.16,True
133,0.814,0.831,0.31,False
136,0.831,0.768,0.31,False
138,0.768,0.748,0.16,True
141,0.748,0.720,0.31,False
144,0.720,0.696,0.31,False
147,0.696,0.714,0.00,True
