0,0.678,0.678
1,0.657,0.671
4,0.655,0.665
4,0.665,0.665
4,0.667,0.666
4,0.680,0.671
5,0.671,0.671
5,0.671,0.671
5,0.683,0.675
5,0.681,0.677
5,0.690,0.682
5,0.686,0.683
5,0.696,0.688
5,0.693,0.689
5,0.700,0.693
6,0.702,0.696
6,0.710,0.701
6,0.712,0.705
6,0.708,0.706
6,0.706,0.706
6,0.722,0.712
6,0.714,0.712
6,0.718,0.714
7,0.724,0.718
7,0.734,0.723
7,0.736,0.728
7,0.724,0.726
7,0.730,0.728
7,0.752,0.736
7,0.742,0.738
7,0.738,0.738
8,0.740,0.739
8,0.742,0.740
8,0.750,0.743
8,0.756,0.748
8,0.748,0.748
8,0.756,0.751
10,0.760,0.758
10,0.768,0.761
10,0.770,0.764
10,0.764,0.764
10,0.766,0.765
10,0.767,0.766
10,0.780,0.771
10,0.779,0.774
10,0.779,0.776
11,0.785,0.779
11,0.786,0.781
11,0.784,0.782
11,0.799,0.788
11,0.803,0.794
11,0.802,0.796
11,0.802,0.798
11,0.813,0.804
12,0.821,0.810
12,0.807,0.809
12,0.810,0.809
12,0.825,0.815
12,0.827,0.819
12,0.829,0.823
14,0.833,0.830
16,0.825,0.829
18,0.833,0.828
18,0.835,0.830
18,0.833,0.831
18,0.827,0.830
18,0.821,0.827
18,0.813,0.822
18,0.823,0.822
19,0.810,0.818
19,0.815,0.817
19,0.814,0.816
19,0.811,0.814
19,0.802,0.810
19,0.807,0.809
19,0.810,0.809
19,0.790,0.803
20,0.792,0.799
20,0.794,0.797
20,0.788,0.794
20,0.794,0.794
20,0.792,0.794
20,0.782,0.789
20,0.779,0.786
20,0.790,0.787
23,0.784,0.786
23,0.782,0.785
23,0.778,0.783
23,0.774,0.780
23,0.775,0.778
24,0.784,0.780
24,0.782,0.781
24,0.788,0.783
24,0.792,0.787
24,0.786,0.786
24,0.778,0.783
24,0.801,0.790
24,0.795,0.791
25,0.792,0.792
25,0.785,0.789
25,0.797,0.792
25,0.802,0.796
25,0.794,0.795
25,0.796,0.796
25,0.795,0.795
26,0.800,0.797
28,0.766,0.786
28,0.746,0.772
28,0.750,0.765
28,0.763,0.764
28,0.738,0.755
28,0.743,0.751
29,0.743,0.748
29,0.746,0.747
29,0.736,0.743
29,0.733,0.740
29,0.734,0.737
29,0.734,0.736
29,0.730,0.734
29,0.739,0.736
30,0.745,0.739
30,0.736,0.738
30,0.745,0.740
31,0.742,0.741
33,0.723,0.735
33,0.736,0.735
33,0.744,0.738
34,0.736,0.737
34,0.744,0.740
34,0.740,0.740
34,0.740,0.740
34,0.742,0.740
34,0.740,0.740
34,0.750,0.744
34,0.744,0.744
34,0.750,0.746
35,0.751,0.748
35,0.755,0.750
35,0.746,0.749
35,0.752,0.750
35,0.746,0.749
35,0.757,0.752
35,0.754,0.752
35,0.760,0.755
36,0.762,0.758
36,0.748,0.754
36,0.756,0.755
36,0.750,0.753
36,0.764,0.757
36,0.762,0.759
36,0.763,0.760
36,0.766,0.762
37,0.769,0.765
37,0.756,0.761
37,0.752,0.758
37,0.752,0.756
37,0.766,0.760
37,0.760,0.760
37,0.751,0.757
37,0.766,0.760
38,0.762,0.760
38,0.763,0.761
38,0.760,0.761
38,0.763,0.762
38,0.758,0.760
39,0.750,0.756
39,0.765,0.759
39,0.760,0.760
39,0.749,0.756
39,0.754,0.755
39,0.752,0.754
39,0.749,0.753
39,0.748,0.751
40,0.748,0.750
40,0.754,0.751
40,0.742,0.748
40,0.750,0.749
40,0.742,0.746
40,0.736,0.743
40,0.749,0.745
40,0.750,0.746
40,0.736,0.743
41,0.736,0.740
41,0.738,0.739
41,0.736,0.738
41,0.730,0.735
41,0.744,0.738
41,0.736,0.737
41,0.726,0.733
44,0.732,0.733
44,0.732,0.733
45,0.738,0.735
45,0.736,0.735
45,0.738,0.736
45,0.733,0.735
45,0.727,0.732
45,0.729,0.731
47,0.728,0.730
48,0.726,0.729
48,0.742,0.733
48,0.752,0.740
48,0.742,0.740
48,0.740,0.740
48,0.744,0.742
48,0.747,0.744
48,0.758,0.748
49,0.761,0.753
51,0.772,0.759
52,0.753,0.765
54,0.761,0.764
54,0.766,0.764
54,0.770,0.766
54,0.756,0.763
54,0.768,0.765
54,0.758,0.762
54,0.768,0.764
55,0.763,0.764
55,0.768,0.765
55,0.760,0.764
55,0.756,0.761
55,0.764,0.762
55,0.752,0.759
55,0.756,0.758
55,0.754,0.757
56,0.750,0.754
56,0.752,0.754
56,0.750,0.752
56,0.754,0.753
56,0.744,0.750
56,0.750,0.750
56,0.750,0.750
56,0.750,0.750
57,0.742,0.747
57,0.754,0.750
57,0.742,0.747
57,0.748,0.748
57,0.742,0.746
57,0.748,0.746
57,0.742,0.745
58,0.742,0.744
58,0.734,0.740
58,0.738,0.739
58,0.733,0.737
58,0.742,0.739
58,0.726,0.735
58,0.732,0.734
58,0.721,0.729
59,0.724,0.727
59,0.730,0.728
59,0.724,0.727
59,0.722,0.725
59,0.724,0.725
59,0.722,0.724
59,0.716,0.721
59,0.725,0.722
59,0.728,0.724
60,0.712,0.720
60,0.707,0.716
60,0.726,0.719
60,0.710,0.716
60,0.718,0.716
60,0.716,0.716
60,0.696,0.709
60,0.708,0.709
61,0.712,0.710
61,0.706,0.709
61,0.719,0.712
61,0.711,0.712
61,0.708,0.710
61,0.716,0.712
61,0.704,0.710
61,0.697,0.705
62,0.698,0.703
62,0.702,0.702
62,0.694,0.699
62,0.697,0.698
62,0.697,0.698
62,0.692,0.696
62,0.684,0.692
62,0.679,0.687
63,0.686,0.687
63,0.685,0.686
63,0.683,0.685
63,0.684,0.685
63,0.671,0.680
63,0.681,0.680
63,0.671,0.677
63,0.667,0.674
64,0.663,0.670
64,0.672,0.671
64,0.677,0.673
64,0.660,0.668
64,0.667,0.668
64,0.665,0.667
64,0.667,0.667
64,0.667,0.667
64,0.651,0.661
65,0.653,0.659
65,0.665,0.661
65,0.651,0.657
65,0.657,0.657
65,0.645,0.653
65,0.647,0.651
65,0.647,0.649
65,0.649,0.649
66,0.657,0.652
66,0.639,0.647
66,0.647,0.647
66,0.646,0.647
66,0.641,0.645
66,0.645,0.645
66,0.639,0.642
67,0.633,0.639
67,0.627,0.635
67,0.631,0.634
67,0.625,0.631
67,0.631,0.631
67,0.625,0.629
67,0.627,0.628
67,0.617,0.624
68,0.611,0.619
68,0.617,0.619
68,0.624,0.621
68,0.617,0.619
68,0.625,0.621
68,0.607,0.616
