P,60,0.363,0.29,False
P,-60,0.358,0.00,True
R,0.348,0.00,True
P,0,0.343,-0.00,True
P,60,0.346,0.29,False
P,-60,0.353,0.00,True
R,0.358,0.00,True
P,0,0.35,0.01,True
P,60,0.36,0.29,False
P,-60,0.383,0.01,True
R,0.377,0.00,True
P,0,0.37,0.01,True
P,60,0.345,0.29,False
P,-60,0.343,0.00,True
R,0.327,-0.00,True
P,0,0.34,0.00,True
P,60,0.33,0.28,False
P,-60,0.367,-0.00,True
R,0.38,-0.00,True
P,0,0.377,0.00,True
P,60,0.335,0.29,False
P,-60,0.328,-0.00,True
R,0.343,0.00,True
P,0,0.341,0.00,True
P,60,0.352,0.29,False
P,-60,0.352,-0.00,True
R,0.353,-0.00,True
P,0,0.354,0.00,True
P,60,0.31,0.29,False
P,-60,0.337,0.00,True
R,0.328,0.00,True
P,0,0.325,0.01,True
P,60,0.323,0.16,True
P,-60,0.31,0.00,True
P,0,0.307,0.01,True
P,60,0.307,0.04,True
P,-60,0.325,0.00,True
P,0,0.328,0.29,False
P,60,0.318,0.00,True
P,-60,0.338,0.29,False
R,0.343,0.05,True
P,0,0.346,0.03,True
P,60,0.38,0.29,False
P,-60,0.375,0.00,True
R,0.402,0.28,True
P,0,0.396,0.04,True
P,60,0.427,0.29,False
P,-60,0.405,-0.00,True
R,0.405,0.02,True
P,0,0.435,0.00,True
P,60,0.483,0.29,False
P,-60,0.467,0.02,True
R,0.502,0.31,False
R,0.518,0.31,False
R,0.531,0.20,True
P,0,0.533,0.00,True
P,60,0.575,0.29,False
P,-60,0.609,0.29,False
R,0.597,-0.00,True
P,0,0.602,0.00,True
P,60,0.595,-0.00,True
P,-60,0.599,0.29,False
R,0.58,0.31,False
R,0.574,0.02,True
P,0,0.576,-0.00,True
P,60,0.571,0.29,False
P,-60,0.63,-0.00,True
R,0.626,0.00,True
P,0,0.625,-0.00,True
P,60,0.612,0.29,False
P,-60,0.61,0.00,True
R,0.591,-0.00,True
P,0,0.593,0.00,True
P,60,0.625,0.29,False
P,-60,0.657,0.00,True
R,0.648,0.00,True
P,0,0.659,0.00,True
P,60,0.648,0.29,False
P,-60,0.656,0.00,True
R,0.649,-0.00,True
P,0,0.624,0.00,True
P,60,0.665,0.29,False
P,-60,0.672,0.00,True
R,0.675,-0.00,True
P,0,0.679,0.00,True
P,60,0.674,-0.00,True
P,-60,0.651,-0.00,True
P,0,0.646,0.00,True
P,60,0.644,0.00,True
P,-60,0.633,0.00,True
P,0,0.674,0.29,False
P,60,0.661,0.00,True
P,-60,0.67,0.24,True
R,0.666,0.03,True
P,0,0.669,0.01,True
P,60,0.626,0.29,False
P,-60,0.642,0.00,True
R,0.645,0.00,True
P,0,0.643,0.00,True
P,60,0.643,0.30,False
P,-60,0.636,0.00,True
R,0.632,0.00,True
P,0,0.632,0.00,True
P,60,0.63,0.29,False
P,-60,0.616,0.00,True
R,0.63,-0.00,True
P,0,0.634,-0.00,True
P,60,0.635,0.29,False
P,-60,0.619,0.00,True
R,0.639,-0.00,True
P,0,0.642,0.00,True
P,60,0.592,0.29,False
P,-60,0.592,-0.00,True
R,0.596,0.31,False
R,0.598,0.30,False
R,0.639,0.31,False
P,0,0.625,0.11,True
P,60,0.637,-0.00,True
P,-60,0.613,-0.00,True
P,0,0.621,0.00,True
P,60,0.61,0.00,True
P,-60,0.573,-0.00,True
P,0,0.599,0.10,True
P,60,0.59,0.00,True
P,-60,0.613,0.29,False
R,0.563,0.31,False
R,0.556,0.31,False
R,0.542,0.20,True
P,0,0.52,0.01,True
P,60,0.512,0.29,False
P,-60,0.535,0.01,True
R,0.479,0.31,False
R,0.463,0.18,True
P,0,0.469,0.00,True
P,60,0.45,0.29,False
P,-60,0.445,0.00,True
R,0.463,0.11,True
P,0,0.465,0.01,True
P,60,0.435,0.29,False
P,-60,0.431,-0.00,True
R,0.405,0.31,False
R,0.391,0.17,True
P,0,0.387,-0.00,True
P,60,0.386,0.29,False
P,-60,0.385,0.05,True
R,0.356,0.31,False
R,0.337,0.22,True
P,0,0.339,-0.00,True
P,60,0.35,0.05,True
P,-60,0.346,-0.00,True
P,0,0.343,0.00,True
P,60,0.356,0.30,False
P,-60,0.348,0.00,True
R,0.345,-0.00,True
P,0,0.353,-0.00,True
P,60,0.353,0.15,True
P,-60,0.354,0.00,True
P,0,0.351,0.29,False
P,60,0.343,0.13,True
P,0,0.356,0.21,True
P,60,0.352,-0.00,True
P,-60,0.374,0.29,False
R,0.375,0.02,True
P,0,0.37,0.01,True
P,60,0.381,0.08,True
P,-60,0.372,0.29,False
R,0.361,0.21,True
P,0,0.354,0.05,True
P,60,0.364,0.00,True
P,-60,0.349,0.15,True
P,0,0.347,-0.00,True
P,60,0.347,0.29,False
P,-60,0.353,-0.00,True
R,0.351,-0.00,True
P,0,0.357,-0.00,True
P,60,0.356,0.15,True
P,-60,0.351,-0.00,True
P,0,0.357,0.30,False
P,60,0.346,0.18,True
P,-60,0.367,0.29,False
R,0.396,0.31,False
R,0.409,0.31,False
R,0.456,0.31,False
P,0,0.442,0.01,True
P,60,0.454,0.29,False
P,-60,0.445,-0.00,True
R,0.484,0.31,False
R,0.514,0.32,False
R,0.537,0.31,False
R,0.579,0.31,False
P,0,0.587,0.12,True
P,60,0.579,0.29,False
P,-60,0.591,0.00,True
R,0.606,0.10,True
P,0,0.6,0.02,True
P,60,0.597,0.29,False
P,-60,0.597,-0.00,True
R,0.604,0.00,True
P,0,0.6,0.00,True
P,60,0.599,0.04,True
P,-60,0.601,0.05,True
P,0,0.611,0.00,True
P,60,0.608,0.00,True
P,-60,0.614,0.01,True
P,0,0.603,0.20,True
P,60,0.626,0.00,True
P,-60,0.595,0.29,False
R,0.55,0.24,True
P,0,0.557,0.00,True
P,60,0.519,0.28,False
P,-60,0.513,-0.00,True
R,0.514,0.00,True
P,0,0.522,0.00,True
P,60,0.482,0.29,False
P,-60,0.489,0.00,True
R,0.5,-0.00,True
P,0,0.514,0.00,True
P,60,0.477,0.29,False
P,-60,0.449,0.00,True
