T 43.2 pose=(0.00,0.00,None) f=0.38 r=0.97 l=2.99
ALERT 43.4 d9=tick=51056 goal=0 d0=0 d7=1
ALERT 43.8 d9=tick=51098 goal=0 d0=0 d7=1
ALERT 44.2 d9=tick=51140 goal=0 d0=0 d7=1
ALERT 44.6 d9=tick=51182 goal=0 d0=0 d7=1
ALERT 45.1 d9=tick=51224 goal=0 d0=0 d7=1
T 45.1 pose=(0.00,0.00,None) f=0.38 r=0.61 l=2.99
ALERT 45.5 d9=tick=51268 goal=0 d0=0 d7=1
ALERT 45.9 d9=tick=51309 goal=0 d0=0 d7=1
ALERT 46.1 d9=tick=51326 goal=0 d0=0 d7=1
ALERT 46.5 d9=tick=51368 goal=0 d0=0 d7=1
ALERT 46.6 d9=tick=51382 goal=0 d0=0 d7=1
T 46.6 pose=(0.00,0.00,None) f=0.37 r=0.60 l=3.00
ALERT 46.8 d9=tick=51398 goal=0 d0=0 d7=1
ALERT 47.2 d9=tick=51439 goal=0 d0=0 d7=1
ALERT 47.7 d9=tick=51484 goal=0 d0=0 d7=1
ALERT 48.1 d9=tick=51526 goal=0 d0=0 d7=1
ALERT 48.5 d9=tick=51569 goal=0 d0=0 d7=1
T 48.5 pose=(0.00,0.00,None) f=0.38 r=0.58 l=3.00
ALERT 48.9 d9=tick=51611 goal=0 d0=0 d7=1
ALERT 49.4 d9=tick=51652 goal=0 d0=0 d7=1
ALERT 49.5 d9=tick=51669 goal=0 d0=0 d7=1
ALERT 49.9 d9=tick=51708 goal=0 d0=0 d7=1
ALERT 50.4 d9=tick=51753 goal=0 d0=0 d7=1
T 50.4 pose=(0.00,0.00,None) f=0.37 r=0.58 l=3.00
ALERT 50.5 d9=tick=51769 goal=0 d0=0 d7=1
ALERT 50.9 d9=tick=51810 goal=0 d0=0 d7=1
ALERT 51.4 d9=tick=51855 goal=0 d0=0 d7=1
ALERT 51.8 d9=tick=51899 goal=0 d0=0 d7=1
T 52.3 pose=(0.00,0.00,None) f=0.38 r=0.59 l=3.00
ALERT 52.4 d9=tick=51957 goal=0 d0=0 d7=1
ALERT 52.8 d9=tick=52000 goal=0 d0=0 d7=1
ALERT 53.2 d9=tick=52038 goal=0 d0=0 d7=1
ALERT 53.4 d9=tick=52058 goal=0 d0=0 d7=1
T 53.8 pose=(0.00,0.00,None) f=0.38 r=0.57 l=2.99
ALERT 54.0 d9=tick=52118 goal=0 d0=0 d7=1
ALERT 54.4 d9=tick=52159 goal=0 d0=0 d7=1
ALERT 54.6 d9=tick=52175 goal=0 d0=0 d7=1
ALERT 55.0 d9=tick=52217 goal=0 d0=0 d7=1
ALERT 55.4 d9=tick=52261 goal=0 d0=0 d7=1
T 55.4 pose=(0.00,0.00,None) f=0.38 r=0.56 l=3.00
ALERT 56.5 d9=tick=52363 goal=0 d0=0 d7=1
ALERT 56.6 d9=tick=52377 goal=0 d0=0 d7=1
ALERT 57.0 d9=tick=52420 goal=0 d0=0 d7=1
T 57.0 pose=(0.00,0.00,None) f=0.37 r=0.60 l=3.00
ALERT 57.4 d9=tick=52460 goal=0 d0=0 d7=1
ALERT 57.9 d9=tick=52504 goal=0 d0=0 d7=1
ALERT 58.0 d9=tick=52521 goal=0 d0=0 d7=1
ALERT 58.5 d9=tick=52563 goal=0 d0=0 d7=1
T 58.9 pose=(0.00,0.00,None) f=0.38 r=0.60 l=3.00
ALERT 59.3 d9=tick=52649 goal=0 d0=0 d7=1
ALERT 59.7 d9=tick=52691 goal=0 d0=0 d7=1
ALERT 59.9 d9=tick=52707 goal=0 d0=0 d7=1
ALERT 60.1 d9=tick=52725 goal=0 d0=0 d7=1
ALERT 60.2 d9=tick=52742 goal=0 d0=0 d7=1
ALERT 60.7 d9=tick=52784 goal=0 d0=0 d7=1
T 60.7 pose=(0.00,0.00,None) f=0.38 r=0.56 l=2.99
ALERT 61.1 d9=tick=52825 goal=0 d0=0 d7=1
ALERT 61.5 d9=tick=52867 goal=0 d0=0 d7=1
ALERT 61.7 d9=tick=52885 goal=0 d0=0 d7=1
ALERT 62.1 d9=tick=52926 goal=0 d0=0 d7=1
ALERT 62.2 d9=tick=52940 goal=0 d0=0 d7=1
T 62.2 pose=(0.00,0.00,None) f=0.38 r=0.57 l=2.99
ALERT 62.7 d9=tick=52984 goal=0 d0=0 d7=1
ALERT 63.1 d9=tick=53027 goal=0 d0=0 d7=1
ALERT 63.5 d9=tick=53069 goal=0 d0=0 d7=1
T 64.0 pose=(0.00,0.00,None) f=0.39 r=0.58 l=3.00
ALERT 64.1 d9=tick=53129 goal=0 d0=0 d7=1
ALERT 64.3 d9=tick=53143 goal=0 d0=0 d7=1
ALERT 64.4 d9=tick=53158 goal=0 d0=0 d7=1
