off: {'tick': 408020, 'goal': 0, 'here': 0}
back: {'tick': 409079, 'goal': 0, 'here': 1}
off: {'tick': 413990, 'goal': 0, 'here': 0}
back: {'tick': 417243, 'goal': 0, 'here': 0}
off: {'tick': 421791, 'goal': 0, 'here': 0}
back: {'tick': 423461, 'goal': 0, 'here': 1}
off: {'tick': 428282, 'goal': 0, 'here': 0}
back: {'tick': 429361, 'goal': 0, 'here': 1}
off: {'tick': 434293, 'goal': 0, 'here': 0}
