rev b12=0.11 b0=0.15 d6=0 h=75.7
n h=359 f=0.42 l=0.25 r=1.48 d6=0
n h=6 f=0.40 l=0.26 r=1.52 d6=0
n h=3 f=0.35 l=0.24 r=1.53 d6=0
n h=4 f=0.32 l=0.24 r=1.56 d6=0
n h=2 f=0.30 l=0.29 r=1.59 d6=0
n h=4 f=0.26 l=0.32 r=1.55 d6=0
n h=1 f=0.24 l=0.31 r=1.58 d6=0
n h=0 f=0.19 l=-1.00 r=1.56 d6=0
n h=1 f=0.21 l=0.30 r=1.53 d6=0
n h=359 f=0.15 l=0.28 r=1.10 d6=0
blocked f= 0.131
end d0= tick=262685 goal=0 scan= [0.111, 0.095, 0.112, 0.254, 0.248, 0.332, 0.346, 0.759, 2.996, 0.83, 0.746, 1.645, 0.478, 0.227, 0.188, 0.162]
