# calib spin dh=48.29999999999998 sign=1
S,74875,245.1,-45294,0,0.246,0,0.10,0.07,0.10,0.09,0.11,0.22,0.25,0.44,0.70,1.94,0.69,0.59,2.26,1.20,0.26,0.12
S,74978,283.0,-45409,0,0.234,0,0.08,0.10,0.12,0.17,0.26,-1.00,0.53,1.61,1.04,0.59,0.80,1.20,0.35,0.11,0.11,0.08
S,75083,328.7,-45536,0,0.238,0,0.13,0.17,0.27,0.36,0.53,1.60,1.08,0.60,0.80,1.21,0.37,0.12,0.12,0.09,0.10,0.11
S,75185,10.4,-45671,0,0.254,0,0.27,0.40,0.56,1.82,0.96,0.62,1.98,1.15,0.34,0.13,0.07,0.10,0.10,0.09,0.11,0.18
S,75288,60.0,-45806,0,0.250,0,0.66,1.94,0.72,0.61,2.19,1.17,0.26,0.12,0.10,0.08,0.11,0.10,0.15,0.20,0.27,0.43
S,75393,111.1,-45940,0,0.246,0,0.68,0.60,2.32,1.22,0.21,0.09,0.09,0.11,0.10,0.11,0.12,0.29,0.27,0.45,0.77,1.93
S,75493,157.9,-46073,0,0.252,0,2.36,1.21,0.18,0.11,0.09,0.07,0.07,0.11,0.13,0.30,0.26,0.46,0.77,1.93,0.67,0.61
S,75606,206.2,-46219,0,0.233,0,0.12,0.11,0.09,0.09,0.10,0.11,0.14,0.29,0.28,0.48,-1.00,1.97,0.54,0.62,1.25,0.41
S,75710,248.2,-46336,0,0.237,0,0.10,0.09,0.09,0.12,0.13,0.29,0.27,0.46,0.81,1.96,0.67,0.60,2.40,0.82,0.15,0.10
S,75811,292.1,-46446,0,0.239,0,0.10,-1.00,0.12,0.20,0.26,0.41,0.59,1.94,0.71,0.61,2.00,1.18,0.31,0.13,0.10,0.09
S,75915,327.2,-46559,0,0.242,0,0.13,0.17,0.26,0.34,0.52,1.55,1.08,0.56,0.78,1.26,0.35,0.13,0.11,0.11,0.10,0.08
S,76019,17.2,-46697,0,0.258,0,0.26,0.39,0.57,1.81,0.96,0.60,0.84,1.16,0.33,0.10,0.10,0.10,0.09,0.10,0.13,0.18
S,76126,67.7,-46842,0,0.233,0,0.77,1.93,0.67,0.59,2.35,1.23,0.19,0.13,0.09,0.10,0.09,0.11,0.16,0.31,0.29,0.45
S,76227,112.9,-46968,0,0.243,0,0.67,0.60,2.33,1.23,0.19,0.12,0.09,0.10,0.12,0.12,0.12,0.27,0.27,0.47,0.78,1.93
S,76329,157.5,-47103,0,0.243,0,2.42,0.85,0.17,0.12,0.10,0.10,0.09,0.10,0.14,0.30,0.29,0.46,0.80,1.97,0.68,0.61
S,76430,205.7,-47236,0,0.239,0,0.14,0.10,0.09,0.09,0.10,0.11,0.12,0.26,0.28,0.48,0.81,1.97,0.64,0.59,1.30,0.45
S,76533,254.2,-47372,0,0.241,0,0.09,0.10,0.11,0.11,0.16,0.29,0.26,0.48,0.85,1.97,0.60,0.60,1.26,0.42,0.16,0.11
S,76642,289.5,-47482,0,0.250,0,0.10,0.10,0.14,0.29,0.28,0.46,0.76,1.93,0.69,0.61,2.36,1.23,0.19,0.12,0.08,0.09
S,76745,336.2,-47603,0,0.246,0,0.14,0.29,0.26,0.45,0.70,1.94,0.69,0.60,2.27,1.19,0.29,0.13,0.10,0.08,0.10,0.11
S,76845,20.8,-47736,0,0.232,0,0.27,0.45,0.76,1.91,0.69,0.59,2.29,1.24,0.23,0.11,0.10,0.09,0.12,0.12,0.14,0.28
S,76945,67.1,-47865,0,0.238,0,0.77,1.93,0.69,0.62,2.34,1.23,0.20,-1.00,0.10,0.10,0.09,0.14,0.14,0.29,0.25,0.47
S,77048,118.1,-48002,0,0.252,0,0.66,0.60,2.42,0.83,0.16,0.10,0.10,0.11,0.13,0.12,0.15,0.29,0.28,0.45,0.81,1.95
S,77154,163.4,-48138,0,0.246,0,1.25,0.41,0.13,0.11,0.09,0.10,0.11,0.10,0.14,0.27,0.29,0.47,0.88,1.96,0.56,0.62
# start tick=105951 goal=0 here=0
S,105958,334.7,-71191,0,0.503,0,0.13,0.28,0.25,0.43,0.71,1.93,0.69,0.61,2.25,1.19,0.29,0.12,0.11,0.10,0.07,0.10
S,106052,338.2,-71211,0,0.492,0,0.16,0.26,0.27,0.48,0.85,1.97,0.61,0.60,1.24,0.42,0.15,0.11,0.10,0.09,0.09,0.10
S,106153,18.2,-71312,0,0.496,0,0.27,0.42,0.59,1.95,0.72,0.61,2.00,1.17,0.34,0.12,0.10,0.11,0.09,0.10,0.12,0.22
S,106255,50.5,-71410,0,0.505,0,0.49,1.16,2.15,0.51,0.61,1.24,0.40,0.14,0.11,0.10,0.09,0.12,0.12,0.15,0.27,0.29
S,106360,89.3,-71513,0,0.499,0,1.94,0.69,0.61,2.35,1.22,0.23,0.12,0.11,0.10,0.09,0.10,0.12,0.28,0.26,0.46,0.76
S,106462,91.4,-71412,0,0.507,0,1.89,0.59,0.57,1.24,0.82,0.33,-1.00,0.16,0.16,0.16,0.14,0.28,0.25,0.33,0.46,1.11
S,106562,97.1,-71305,0,0.516,0,2.01,0.54,0.52,2.33,1.20,0.38,0.24,0.20,0.20,0.22,0.23,0.30,0.27,0.39,0.46,1.08
S,106663,96.7,-71194,0,0.526,0,1.95,0.52,0.47,2.30,1.22,0.43,0.34,0.27,0.27,0.26,0.30,0.27,0.30,0.36,0.51,1.04
S,106765,96.2,-71084,0,0.545,0,1.89,0.46,0.36,0.70,1.19,0.50,0.40,0.32,0.33,0.30,0.39,0.27,0.34,0.35,0.53,1.02
S,106865,98.5,-70996,0,0.560,0,1.86,0.43,0.30,0.44,1.15,0.67,0.45,0.35,0.37,0.35,0.39,0.30,0.36,0.35,0.55,1.01
S,106968,98.5,-70918,0,0.548,0,1.81,0.41,0.29,0.41,1.15,0.73,0.50,0.39,0.41,0.40,0.35,0.35,0.36,0.34,0.53,1.23
S,107070,99.6,-70846,0,0.559,0,1.75,0.36,0.30,0.38,1.18,0.80,0.53,0.44,0.46,0.42,-1.00,0.36,0.34,0.36,0.53,1.23
S,107174,94.4,-70777,0,0.556,0,1.76,0.36,0.30,0.24,1.20,0.85,0.56,0.45,0.48,0.47,0.38,0.39,0.33,0.41,0.52,1.20
S,107274,99.4,-70708,0,0.574,0,2.49,0.34,0.29,0.20,1.23,0.88,0.58,0.51,0.51,0.49,0.38,0.39,0.33,0.40,0.51,1.18
S,107375,99.4,-70635,0,0.582,0,1.66,0.30,0.28,0.19,0.39,0.94,0.60,0.54,0.57,0.53,0.41,0.37,0.35,0.42,0.48,1.16
S,107476,101.4,-70552,0,0.591,0,1.63,0.43,0.26,0.25,0.20,1.15,0.65,0.60,0.59,0.58,0.45,0.38,0.34,0.42,0.51,1.13
S,107579,96.7,-70479,0,0.600,0,1.57,0.43,0.21,0.23,0.20,1.19,0.72,0.64,0.62,0.64,0.47,0.37,0.35,0.42,0.55,1.09
S,107681,93.0,-70409,0,0.590,0,1.52,0.39,0.18,0.21,0.23,0.21,0.81,0.67,0.68,0.65,0.50,0.35,0.37,0.41,0.59,1.06
S,107782,97.3,-70339,0,0.596,0,2.32,0.38,0.17,0.17,0.20,0.21,0.84,0.70,0.71,0.70,0.50,0.35,0.40,0.40,0.63,1.23
S,107882,94.6,-70263,0,0.605,0,1.44,0.37,0.15,0.15,0.20,0.23,0.88,0.73,0.73,0.74,0.51,0.38,0.38,0.39,0.61,1.19
S,107985,97.3,-70192,0,0.631,0,2.24,0.35,0.20,0.12,0.16,0.22,0.27,0.80,0.77,0.65,0.47,0.38,0.38,-1.00,0.61,1.15
S,108086,96.3,-70121,0,0.611,0,1.42,0.35,0.24,0.14,0.13,0.21,0.31,0.85,0.82,0.66,0.47,0.40,0.39,0.42,0.58,1.14
S,108187,96.9,-70050,0,0.636,0,1.35,0.33,0.24,0.16,0.14,0.15,0.28,0.87,0.85,0.71,0.47,0.41,0.36,0.41,0.57,1.09
S,108289,95.6,-69976,0,0.630,0,1.35,0.29,0.21,0.17,0.13,0.14,0.32,0.89,0.89,0.71,0.47,0.42,0.37,0.42,0.54,1.21
S,108391,98.2,-69907,0,0.632,0,1.30,0.28,0.20,0.18,0.14,0.14,0.28,0.94,0.94,0.73,0.49,0.42,0.36,0.44,0.53,1.16
