1788377695.92,0.000,0.000,106.3,0.726
1788377696.32,0.002,-0.000,107.8,0.738
1788377696.73,0.001,-0.000,113.2,0.729
1788377697.13,0.001,-0.000,111.4,0.735
1788377697.53,0.001,-0.000,108.0,0.740
1788377697.93,0.002,-0.000,111.3,0.746
1788377698.33,0.002,-0.001,109.5,0.738
1788377698.74,0.001,-0.000,108.0,0.747
1788377699.14,0.000,0.000,108.0,0.740
1788377699.56,0.001,-0.000,110.2,0.746
1788377699.96,0.001,-0.000,110.5,0.752
1788377700.36,0.002,-0.001,107.9,0.734
1788377700.76,0.001,-0.000,107.6,0.739
1788377701.16,0.000,0.000,110.3,0.746
1788377701.59,0.001,-0.000,108.9,0.732
1788377701.99,-0.000,-0.000,105.4,0.733
1788377702.39,0.001,-0.000,110.2,0.741
1788377702.79,0.002,-0.001,107.7,0.738
1788377703.23,0.002,-0.001,106.2,0.734
1788377703.63,0.001,-0.000,106.6,0.749
1788377704.03,0.001,-0.000,111.5,0.751
1788377704.43,-0.000,-0.000,111.0,0.736
1788377704.83,0.002,-0.001,108.5,0.738
1788377705.24,0.002,-0.001,107.7,0.746
1788377705.64,0.001,-0.000,109.9,0.743
1788377706.04,0.001,-0.000,111.5,0.756
1788377706.44,0.001,-0.000,107.2,0.732
1788377706.85,0.002,-0.001,109.7,0.747
1788377707.25,0.002,-0.001,109.4,0.730
1788377707.65,0.001,-0.000,108.6,0.754
1788377708.05,0.002,-0.001,105.1,0.753
1788377708.46,0.002,-0.001,110.1,0.745
1788377708.86,0.002,-0.001,109.7,0.729
1788377709.26,0.002,-0.001,104.9,0.758
1788377709.66,0.002,-0.001,107.8,0.733
1788377710.07,0.002,-0.001,106.9,0.751
1788377710.47,0.001,-0.000,110.5,0.730
1788377710.88,0.002,-0.001,107.8,0.729
1788377711.28,0.001,-0.000,108.7,0.756
1788377711.81,0.000,0.000,109.6,0.733
1788377712.21,0.002,-0.001,109.2,0.739
