A,0.437,32,0.09,True,-0.011
A,0.449,288,0.18,False,-0.005
A,0.44,12,0.00,True,0.018
A,0.446,47,0.04,True,-0.006
A,0.45,85,0.19,False,0.003
A,0.443,123,0.00,True,0.005
A,0.438,156,0.08,True,0.008
A,0.435,189,-0.00,True,0.009
A,0.451,329,0.16,True,-0.006
A,0.469,290,0.18,False,-0.008
A,0.452,258,0.18,False,0.013
161,0.471,0.471,WALL
W,0.481,0.23,0.2
162,0.471,0.471,WALL
W,0.493,0.22,0.5
163,0.495,0.471,WALL
W,0.5035000000000001,0.22,0.7
164,0.514,0.471,WALL
166,0.493,0.471,WALL
W,0.5265,0.23,0.9
167,0.525,0.471,WALL
W,0.5625,0.23,1.1
A,0.574,38,0.18,False,-0.015
