S,1788377391.7,0.000,0.000,303.6,0.826,-1.06,-0.53
S,1788377391.8,0.001,-0.001,300.3,0.836,-1.06,-0.53
S,1788377391.9,0.001,-0.001,306.2,0.8414999999999999,-1.06,-0.53
S,1788377392.0,0.000,-0.000,301.5,0.839,-1.06,-0.53
S,1788377392.1,0.001,-0.001,301.5,0.8325,-1.06,-0.53
S,1788377392.2,0.001,-0.000,303.3,0.84,-1.06,-0.53
S,1788377392.3,0.001,-0.001,303.2,0.839,-1.06,-0.53
S,1788377392.4,0.000,-0.000,299.1,0.8365,-1.06,-0.53
S,1788377392.4,0.000,0.000,304.2,0.8385,-1.06,-0.53
S,1788377392.5,0.001,-0.001,302.0,0.8405,-1.06,-0.53
S,1788377392.6,0.000,0.000,302.2,0.849,-1.06,-0.53
S,1788377392.7,-0.000,0.000,301.7,0.84,-1.06,-0.53
S,1788377392.8,0.000,-0.000,300.5,0.8305,-1.06,-0.53
S,1788377392.9,0.000,-0.000,305.7,0.8334999999999999,-1.06,-0.53
S,1788377393.0,0.000,-0.000,302.3,0.837,-1.06,-0.53
S,1788377393.0,0.000,-0.000,301.4,0.835,-1.06,-0.53
S,1788377393.1,0.000,-0.000,304.2,0.8365,-1.06,-0.53
S,1788377393.2,0.001,-0.001,305.1,0.8214999999999999,-1.06,-0.53
S,1788377393.3,0.001,-0.001,304.4,0.845,-1.06,-0.53
S,1788377393.4,0.001,-0.001,305.1,0.8305,-1.06,-0.53
S,1788377393.5,0.000,0.000,302.6,0.854,-1.06,-0.53
S,1788377393.6,0.001,-0.001,306.7,0.837,-1.06,-0.53
S,1788377393.7,-0.000,0.000,300.7,0.8354999999999999,-1.06,-0.53
S,1788377393.8,0.000,0.000,302.8,0.834,-1.06,-0.53
S,1788377393.8,0.000,-0.000,305.2,0.8334999999999999,-1.06,-0.53
S,1788377393.9,0.000,0.000,299.1,0.8374999999999999,-1.06,-0.53
S,1788377394.0,0.001,-0.001,302.4,0.8334999999999999,-1.06,-0.53
S,1788377396.5,-0.301,0.196,303.7,0.7875000000000001,-1.06,-0.53
S,1788377396.6,-0.299,0.195,304.9,0.791,-1.06,-0.53
S,1788377396.7,-0.300,0.195,301.3,0.78,-1.06,-0.53
S,1788377398.5,-0.490,0.323,306.4,0.7545,-1.06,-0.53
S,1788377408.9,-0.546,0.358,298.2,0.7515000000000001,-1.06,-0.53
S,1788377409.0,-0.547,0.358,299.6,0.753,-1.06,-0.53
S,1788377409.1,-0.546,0.358,300.6,0.763,-1.06,-0.53
S,1788377409.1,-0.546,0.358,303.4,0.7605,-1.06,-0.53
S,1788377409.2,-0.547,0.359,300.0,0.7555000000000001,-1.06,-0.53
S,1788377409.3,-0.546,0.358,299.4,0.7515000000000001,-1.06,-0.53
S,1788377409.4,-0.546,0.358,298.5,0.7655000000000001,-1.06,-0.53
S,1788377409.6,-0.547,0.359,300.4,0.7535000000000001,-1.06,-0.53
S,1788377409.6,-0.547,0.359,295.0,0.7505,-1.06,-0.53
S,1788377419.4,-0.566,0.368,298.5,0.742,-1.06,-0.53
S,1788377419.5,-0.566,0.368,296.1,0.743,-1.06,-0.53
S,1788377419.6,-0.567,0.369,300.8,0.764,-1.06,-0.53
S,1788377419.7,-0.566,0.368,298.0,0.745,-1.06,-0.53
S,1788377419.7,-0.566,0.368,299.8,0.7585,-1.06,-0.53
S,1788377419.8,-0.567,0.369,297.9,0.748,-1.06,-0.53
S,1788377419.9,-0.567,0.369,297.9,0.7575000000000001,-1.06,-0.53
S,1788377420.0,-0.567,0.369,299.0,0.753,-1.06,-0.53
S,1788377420.1,-0.567,0.369,299.1,0.754,-1.06,-0.53
S,1788377430.1,-0.567,0.369,297.6,0.755,-1.06,-0.53
S,1788377430.2,-0.568,0.369,299.6,0.755,-1.06,-0.53
S,1788377430.3,-0.567,0.369,299.0,0.7444999999999999,-1.06,-0.53
S,1788377430.4,-0.567,0.369,298.4,0.756,-1.06,-0.53
S,1788377430.5,-0.567,0.369,299.6,0.7545,-1.06,-0.53
S,1788377430.6,-0.568,0.369,301.9,0.756,-1.06,-0.53
S,1788377430.6,-0.567,0.369,297.6,0.7505,-1.06,-0.53
S,1788377430.7,-0.568,0.369,297.2,0.752,-1.06,-0.53
S,1788377430.8,-0.567,0.369,293.8,0.759,-1.06,-0.53
S,1788377437.8,-0.565,0.358,50.4,0.66,-1.06,-0.53
S,1788377437.9,-0.565,0.358,48.5,0.664,-1.06,-0.53
S,1788377437.9,-0.565,0.358,47.0,0.6545000000000001,-1.06,-0.53
S,1788377438.0,-0.565,0.358,46.2,0.652,-1.06,-0.53
S,1788377438.1,-0.564,0.359,50.9,0.6485000000000001,-1.06,-0.53
S,1788377442.3,-0.216,0.444,101.7,0.606,-1.1,-0.18
S,1788377442.4,-0.215,0.443,105.0,0.6,-1.1,-0.18
S,1788377478.0,2.725,0.088,88.8,0.8354999999999999,-1.19,0.62
S,1788377478.1,2.727,0.088,86.1,0.83,-1.12,0.49
S,1788377478.2,2.726,0.088,86.3,0.825,-1.12,0.49
S,1788377478.3,2.726,0.088,90.6,0.813,-1.12,0.49
S,1788377478.5,2.725,0.088,85.3,0.82,-1.12,0.49
S,1788377478.6,2.727,0.088,90.7,0.812,-1.12,0.49
S,1788377478.6,2.726,0.088,84.2,0.8135,-1.27,0.03
S,1788377478.7,2.726,0.088,85.9,0.8065,-1.27,0.03
S,1788377478.8,2.727,0.088,90.9,0.8045,-1.27,0.03
S,1788377478.9,2.726,0.088,88.5,0.8055000000000001,-1.41,0.21
S,1788377479.0,2.726,0.088,87.2,0.7945,-1.41,0.21
