0,0.786,0,0
P,0,0.824,0.19,True
P,60,0.825,0.06,True
P,-60,0.851,0.04,True
8,0.849,1,0
P,0,0.832,0.23,True
P,60,0.802,0.29,False
P,-60,0.82,0.07,True
R,0.756,0.31,False
R,0.726,0.31,False
R,0.719,0.00,True
18,0.724,0,0
P,0,0.714,0.00,True
P,60,0.689,0.29,False
P,-60,0.685,0.01,True
R,0.643,0.31,False
R,0.612,0.31,False
R,0.534,0.31,False
R,0.496,0.26,True
30,0.508,0,0
P,0,0.512,0.00,True
P,60,0.524,0.00,True
P,-60,0.496,0.29,False
R,0.524,0.30,False
R,0.528,0.16,True
39,0.544,0,1
P,0,0.549,0.03,True
P,60,0.499,0.24,True
P,-60,0.534,0.04,True
46,0.520,1,1
P,0,0.56,0.29,False
P,60,0.546,0.09,True
P,-60,0.526,0.21,True
R,0.522,0.01,True
53,0.526,0,2
P,0,0.526,0.00,True
P,60,0.521,0.29,False
P,-60,0.534,0.00,True
R,0.495,0.09,True
62,0.514,0,0
P,0,0.541,0.29,False
P,60,0.579,0.22,True
P,-60,0.587,0.30,False
R,0.578,0.01,True
70,0.575,0,1
P,0,0.567,-0.00,True
P,60,0.58,0.00,True
P,-60,0.543,0.29,False
R,0.559,0.10,True
77,0.556,0,2
P,0,0.565,-0.00,True
P,60,0.535,0.12,True
P,-60,0.535,0.29,False
R,0.538,0.31,False
R,0.565,0.16,True
88,0.549,0,0
P,0,0.582,0.29,False
P,60,0.594,0.29,False
P,-60,0.626,0.29,False
R,0.589,0.31,False
R,0.553,0.31,False
R,0.546,0.19,True
100,0.558,0,0
P,0,0.563,0.01,True
P,60,0.539,0.29,False
P,-60,0.541,0.00,True
R,0.51,0.19,True
108,0.518,0,1
P,0,0.516,0.03,True
P,60,0.521,0.29,False
P,-60,0.508,0.05,True
R,0.508,0.04,True
115,0.510,0,2
P,0,0.489,0.01,True
P,60,0.506,0.29,False
P,-60,0.509,0.00,True
R,0.49,0.15,True
124,0.513,0,0
P,0,0.534,0.29,False
P,60,0.539,0.11,True
P,-60,0.552,0.05,True
R,0.546,0.00,True
131,0.540,0,1
P,0,0.548,0.02,True
P,60,0.56,0.29,False
P,-60,0.546,0.00,True
R,0.562,-0.00,True
137,0.567,0,2
P,0,0.565,-0.00,True
P,60,0.564,0.29,False
P,-60,0.568,-0.00,True
R,0.544,0.00,True
0,0.622,0,0
P,0,0.619,0.00,True
P,60,0.622,0.00,True
P,-60,0.651,0.28,False
R,0.648,0.05,True
7,0.653,0,1
P,0,0.657,-0.00,True
P,60,0.674,0.29,False
P,-60,0.677,0.00,True
R,0.672,-0.00,True
14,0.665,0,2
P,0,0.671,-0.00,True
P,60,0.68,0.29,False
P,-60,0.678,-0.00,True
R,0.677,0.00,True
22,0.673,0,0
P,0,0.722,0.29,False
P,60,0.723,0.04,True
P,-60,0.73,0.17,True
R,0.736,0.03,True
29,0.726,0,1
P,0,0.728,-0.00,True
P,60,0.785,0.29,False
P,-60,0.792,0.00,True
R,0.788,-0.00,True
37,0.778,0,2
P,0,0.784,0.02,True
P,60,0.753,0.28,False
P,-60,0.745,0.00,True
R,0.771,0.31,False
R,0.838,0.31,False
48,0.855,0,0
P,0,0.84,0.09,True
P,60,0.817,0.29,False
P,-60,0.85,-0.00,True
R,0.833,0.31,False
R,0.804,0.31,False
R,0.787,0.13,True
59,0.780,0,0
P,0,0.78,0.01,True
P,60,0.771,0.04,True
P,-60,0.794,0.00,True
65,0.783,1,0
P,0,0.79,0.29,False
P,60,0.777,-0.00,True
P,-60,0.877,0.28,True
R,0.896,0.01,True
72,0.899,0,1
P,0,0.891,0.00,True
P,60,0.877,0.29,False
P,-60,0.84,0.00,True
R,0.863,0.00,True
79,0.865,0,2
P,0,0.86,0.00,True
P,60,0.877,0.29,False
P,-60,0.852,-0.00,True
R,0.882,0.12,True
88,0.879,0,0
P,0,0.857,0.29,False
P,60,0.82,0.29,False
P,-60,0.844,0.17,True
R,0.804,0.28,True
98,0.810,0,1
P,0,0.798,0.01,True
P,60,0.766,0.29,False
P,-60,0.755,0.00,True
R,0.722,0.29,True
106,0.724,0,2
P,0,0.717,-0.00,True
P,60,0.677,0.29,False
P,-60,0.682,0.02,True
R,0.72,0.31,False
116,0.703,0,0
P,0,0.699,0.00,True
P,60,0.703,-0.00,True
P,-60,0.712,0.29,False
R,0.707,0.31,False
R,0.719,0.31,False
R,0.719,0.30,False
R,0.695,0.31,False
128,0.702,0,0
P,0,0.699,0.14,True
P,60,0.657,0.13,True
P,-60,0.659,-0.00,True
134,0.728,1,0
P,0,0.722,0.29,False
P,60,0.695,0.04,True
