0,0.721
1,0.734
1,0.73
2,0.727
2,0.745
3,0.729
3,0.727
4,0.721
4,0.751
5,0.732
5,0.733
6,0.732
6,0.736
7,0.716
7,0.716
8,0.75
8,0.716
9,0.746
9,0.724
10,0.724
10,0.719
11,0.726
11,0.724
12,0.738
12,0.729
13,0.735
13,0.742
14,0.751
14,0.732
15,0.749
15,0.755
16,0.715
16,0.726
17,0.725
17,0.732
18,0.723
18,0.73
19,0.732
19,0.734
20,0.725
20,0.724
21,0.748
21,0.745
22,0.727
22,0.731
23,0.726
23,0.748
24,0.74
24,0.732
25,0.723
25,0.737
26,0.724
26,0.732
27,0.735
27,0.744
28,0.722
28,0.735
29,0.728
29,0.734
30,0.732
30,0.721
31,0.744
31,0.728
32,0.733
32,0.735
33,0.735
33,0.726
34,0.738
34,0.731
35,0.726
35,0.733
36,0.727
36,0.724
37,0.732
37,0.725
38,0.722
38,0.744
39,0.752
39,0.753
40,0.738
40,0.733
41,0.727
41,0.729
42,0.729
42,0.738
43,0.742
43,0.745
44,0.721
44,0.737
45,0.726
45,0.728
46,0.738
46,0.741
47,0.73
47,0.739
48,0.729
48,0.734
49,0.725
49,0.727
50,0.729
50,0.737
51,0.745
51,0.724
52,0.734
52,0.729
53,0.728
53,0.723
54,0.717
54,0.728
55,0.728
55,0.748
56,0.731
56,0.745
57,0.745
57,0.735
58,0.741
58,0.743
59,0.738
59,0.724
60,0.737
60,0.738
61,0.741
61,0.738
62,0.745
62,0.734
63,0.736
63,0.735
64,0.726
64,0.731
65,0.743
65,0.738
66,0.731
66,0.74
67,0.741
67,0.726
68,0.737
68,0.737
69,0.722
69,0.726
70,0.729
70,0.735
71,0.723
71,0.729
72,0.736
72,0.731
73,0.728
73,0.735
74,0.735
74,0.733
75,0.735
75,0.726
76,0.72
76,0.738
77,0.743
77,0.746
78,0.742
78,0.731
79,0.74
79,0.726
80,0.743
80,0.743
81,0.735
81,0.725
82,0.73
82,0.727
83,0.721
83,0.741
84,0.723
84,0.738
85,0.73
85,0.734
86,0.728
86,0.741
87,0.737
87,0.733
88,0.733
88,0.728
89,0.742
89,0.722
90,0.729
90,0.725
91,0.723
91,0.721
92,0.736
92,0.722
93,0.738
93,0.724
94,0.735
94,0.746
95,0.754
95,0.727
96,0.737
96,0.724
97,0.73
97,0.731
98,0.726
98,0.728
99,0.735
99,0.709
100,0.733
100,0.721
101,0.709
101,0.72
102,0.744
102,0.737
103,0.747
103,0.733
104,0.732
104,0.746
105,0.752
105,0.751
106,0.732
106,0.738
107,0.739
107,0.729
108,0.733
108,0.745
109,0.73
109,0.732
110,0.73
110,0.737
111,0.734
111,0.729
112,0.73
112,0.729
113,0.726
113,0.725
114,0.756
114,0.732
115,0.741
115,0.741
116,0.724
116,0.74
117,0.724
117,0.729
118,0.738
118,0.731
119,0.743
119,0.741
120,0.74
120,0.727
121,0.723
121,0.729
122,0.725
122,0.723
123,0.726
123,0.729
124,0.723
124,0.737
125,0.734
125,0.723
126,0.731
126,0.732
127,0.752
127,0.758
128,0.763
128,0.774
129,0.761
129,0.753
130,0.74
130,0.759
131,0.767
131,0.758
132,0.777
132,0.787
133,0.774
133,0.76
134,0.769
134,0.756
135,0.77
135,0.751
136,0.75
136,0.763
137,0.771
138,0.762
138,0.767
139,0.755
139,0.753
140,0.75
140,0.767
141,0.774
141,0.784
142,0.768
142,0.786
143,0.788
143,0.782
144,0.776
144,0.78
145,0.775
145,0.763
146,0.764
146,0.766
147,0.775
147,0.767
148,0.769
148,0.766
149,0.772
149,0.756
150,0.755
