17,-1.8,3.7,0.126,110
28,0.1,109.6,0.121,355
24,-138.5,368.3,0.134,171
37,-245.7,456.6,0.114,32
47,-196.3,517.6,0.114,58
60,-53.8,674.8,0.133,33
71,-27.6,805.9,0.136,34
81,14.3,982.4,0.139,29
91,60.0,1146.5,0.149,65
101,109.1,1425.4,0.147,6
111,110.5,1428.1,0.157,145
122,50.4,1510.4,0.149,33
132,99.5,1558.1,0.13,216
142,100.7,1546.2,0.146,217
152,32.9,1442.5,0.142,261
162,-111.7,1192.6,0.134,347
172,-122.3,1189.6,0.144,346
185,-149.7,1182.3,0.143,344
203,-55.3,1068.4,0.122,7
213,-55.7,1066.0,0.161,337
27,-82.3,349.4,0.132,193
37,-92.6,344.2,0.146,193
50,-171.0,313.9,0.117,297
60,-197.6,30.7,0.124,6
70,-204.0,25.1,0.116,350
80,-176.6,35.5,0.106,345
90,-19.9,-70.0,0.13,12
101,-23.0,-100.5,0.114,78
111,65.2,163.4,0.146,15
121,66.2,165.7,0.136,349
131,72.6,158.1,0.136,71
142,56.5,132.8,0.155,185
152,66.0,131.9,0.129,171
163,-91.4,147.0,0.137,73
173,-65.6,257.0,0.138,19
183,82.9,446.1,0.144,14
193,316.0,604.4,0.171,13
