0.04 185.1 [0.107, 0.126, 0.247, 0.24, 0.261, 0.251, 0.367, 1.17, 1.359, 0.448, 0.469, 0.757, 0.787, 0.227, 0.221, 0.159]
0.23 193.0 [0.108, 0.128, 0.238, 0.229, 0.272, 0.248, 0.401, 1.197, 1.369, 0.423, 0.51, 0.756, 0.811, 0.216, 0.213, 0.151]
0.42 192.7 [0.121, 0.129, 0.266, 0.231, 0.259, 0.24, 0.399, 1.218, 1.372, -1.0, 0.504, 0.759, 0.819, 0.222, 0.216, 0.154]
0.61 190.5 [0.103, 0.119, 0.26, 0.245, 0.257, 0.256, 0.418, 1.254, 1.342, 0.41, 0.684, 0.745, 0.808, 0.214, 0.201, 0.156]
0.8 194.6 [0.117, 0.145, 0.256, 0.247, 0.264, 0.247, 0.421, 1.312, 1.386, 0.405, 0.711, 0.755, 0.808, 0.185, 0.221, 0.147]
0.99 196.2 [0.092, 0.156, 0.27, 0.232, 0.262, 0.243, 0.414, 1.362, 1.397, 0.404, 0.698, 0.76, 0.805, 0.202, 0.199, 0.157]
1.18 195.0 [0.09, 0.178, 0.251, 0.246, 0.252, 0.258, 0.452, 1.346, 1.407, 0.435, 0.714, 0.75, 0.777, 0.199, 0.208, 0.146]
1.37 202.9 [0.096, 0.18, 0.258, 0.245, 0.269, 0.256, 0.509, 1.339, 1.42, 0.432, 0.716, 0.789, 0.799, 0.199, 0.21, 0.126]
1.57 200.2 [0.092, 0.219, 0.235, 0.233, 0.234, 0.259, 0.548, 1.318, 1.442, 0.435, 0.734, 0.791, 0.829, 0.206, 0.196, 0.123]
1.76 199.9 [0.1, 0.224, 0.265, 0.252, 0.251, 0.251, 0.553, 1.311, 0.601, 0.442, 0.723, 0.806, 0.82, 0.202, 0.198, 0.117]
1.95 200.3 [0.079, 0.209, 0.246, 0.24, 0.254, 0.259, 0.554, 1.294, 0.613, 0.455, 0.731, 0.801, 0.842, 0.192, 0.214, 0.127]
2.14 201.0 [0.09, 0.218, 0.257, 0.254, 0.25, 0.264, 0.57, 1.332, 0.608, 0.465, 0.762, 0.81, 0.883, 0.195, 0.201, 0.12]
2.33 203.5 [0.101, -1.0, 0.245, 0.256, 0.246, 0.258, 0.599, 1.331, 0.611, 0.444, 0.816, 0.818, 0.898, 0.216, 0.185, 0.14]
2.52 205.7 [0.095, 0.217, 0.238, 0.238, 0.254, 0.267, 0.603, 1.333, 0.593, 0.445, 0.802, 0.834, 0.907, 0.211, 0.193, 0.102]
2.71 205.4 [0.089, 0.221, 0.249, 0.255, 0.247, 0.297, 0.601, 1.383, 0.574, 0.471, 0.786, 0.837, 0.916, 0.188, 0.207, 0.13]
2.9 204.9 [0.118, 0.221, 0.232, 0.26, 0.272, 0.286, 0.61, 1.379, 0.571, 0.469, 0.79, 0.832, 0.913, 0.22, 0.188, 0.113]
3.09 206.6 [0.099, 0.218, 0.226, 0.276, 0.243, 0.276, 0.628, 1.395, 0.575, 0.459, 0.779, 0.812, 0.879, 0.204, 0.187, 0.099]
3.28 207.7 [0.107, 0.233, 0.252, 0.257, 0.255, 0.29, 0.868, 1.392, 0.583, 0.465, 0.758, 0.82, 0.866, 0.208, 0.188, 0.127]
3.47 209.2 [0.114, 0.225, 0.231, 0.257, 0.247, 0.334, 0.914, 1.404, 0.576, 0.478, 0.744, 0.792, 0.871, 0.226, 0.201, 0.102]
3.66 210.4 [0.126, 0.219, 0.243, 0.254, 0.244, 0.342, 0.93, 1.394, 0.58, 0.473, 0.763, 0.819, 0.266, 0.195, 0.189, 0.11]
3.85 210.8 [0.104, 0.242, 0.236, 0.241, 0.231, 0.368, 1.093, 1.385, 0.56, 0.465, 0.746, 0.808, 0.258, 0.213, 0.155, 0.1]
4.04 211.1 [0.13, 0.25, 0.229, 0.254, 0.261, 0.363, 1.144, 1.361, 0.43, 0.461, 0.737, 0.811, 0.234, 0.205, 0.175, 0.097]
4.23 214.6 [0.14, 0.243, 0.239, 0.281, 0.237, 0.406, 1.176, 1.363, 0.432, 0.501, 0.752, 0.793, 0.224, 0.19, 0.166, 0.083]
4.42 216.3 [0.134, 0.265, 0.246, 0.267, 0.244, 0.41, 1.214, 1.379, 0.421, 0.499, 0.753, 0.81, 0.225, 0.196, 0.152, 0.101]
4.62 208.6 [0.142, 0.268, 0.245, 0.254, 0.227, 0.422, 1.241, 1.39, 0.387, 0.666, 0.741, 0.824, 0.206, 0.205, 0.155, 0.088]
4.81 217.5 [0.127, 0.278, 0.224, 0.258, 0.25, 0.407, 1.269, 1.405, 0.387, 0.679, 0.763, 0.821, 0.217, 0.216, 0.131, 0.099]
5.0 213.5 [0.165, 0.269, 0.24, 0.26, 0.245, 0.41, 1.353, 1.386, 0.414, -1.0, 0.735, 0.818, 0.208, 0.211, 0.156, 0.086]
5.19 217.6 [0.177, 0.267, 0.245, 0.26, 0.241, 0.456, 1.372, 1.414, 0.438, 0.714, 0.753, 0.804, 0.192, 0.223, 0.145, 0.092]
5.38 221.8 [0.181, 0.271, 0.256, 0.257, 0.268, 0.5, 1.331, 1.422, 0.416, 0.723, 0.787, 0.798, 0.215, 0.21, 0.149, 0.1]
5.57 220.8 [0.198, 0.266, 0.237, 0.256, 0.257, 0.529, 1.328, 1.428, 0.435, 0.703, 0.79, 0.805, 0.193, 0.218, 0.127, 0.099]
5.76 223.6 [0.22, 0.258, 0.222, 0.245, 0.251, 0.538, 1.308, 0.833, 0.44, 0.729, 0.791, 0.826, 0.22, 0.215, 0.129, 0.094]
5.95 223.1 [0.208, 0.247, 0.236, 0.264, 0.238, 0.571, 1.312, 0.6, 0.438, 0.732, 0.81, 0.858, 0.184, 0.224, 0.122, 0.085]
6.14 226.4 [0.224, 0.252, 0.243, 0.245, 0.248, 0.571, 1.295, 0.595, 0.458, 0.737, 0.818, 0.875, 0.19, 0.2, 0.124, 0.09]
6.33 224.2 [0.215, 0.261, 0.241, 0.252, 0.274, 0.585, 1.325, 0.599, 0.444, 0.789, 0.802, 0.907, 0.213, 0.188, 0.118, 0.107]
6.52 226.6 [0.232, 0.242, 0.256, 0.245, 0.265, 0.58, 1.353, 0.6, 0.477, 0.824, 0.832, 0.882, 0.225, 0.199, 0.117, 0.083]
6.71 225.1 [0.233, 0.246, 0.262, 0.266, 0.262, 0.596, 1.354, 0.595, 0.442, 0.787, 0.812, 0.907, 0.199, 0.209, 0.135, 0.125]
6.9 226.6 [0.227, 0.239, 0.255, 0.244, 0.266, 0.617, 1.377, 0.585, 0.461, 0.797, 0.831, 0.9, 0.193, 0.214, 0.126, 0.093]
7.09 226.8 [0.238, 0.248, 0.264, 0.247, 0.288, 0.637, 1.388, 0.58, 0.476, 0.772, 0.819, 0.891, 0.211, 0.209, 0.111, 0.092]
7.29 229.2 [0.245, 0.244, 0.269, 0.246, 0.295, 0.632, 1.395, 0.591, 0.454, 0.781, 0.816, 0.867, 0.202, 0.199, 0.092, 0.111]
7.48 232.8 [0.224, 0.262, 0.27, 0.244, 0.321, 0.888, 1.383, 0.582, 0.48, 0.761, 0.809, 0.87, 0.191, 0.181, 0.125, 0.108]
7.67 232.7 [0.247, 0.24, 0.278, 0.232, 0.345, 0.915, 1.379, 0.562, 0.48, 0.767, 0.831, 0.287, 0.227, 0.192, 0.106, 0.116]
7.86 231.2 [0.233, 0.234, 0.264, 0.25, 0.358, 0.963, 1.378, 0.563, 0.457, 0.743, 0.802, 0.238, 0.199, 0.162, 0.098, 0.119]
8.05 237.3 [0.264, 0.249, 0.237, 0.249, 0.375, 1.162, 1.38, 0.57, 0.481, 0.757, 0.797, 0.236, 0.21, 0.181, 0.112, 0.117]
8.24 232.4 [0.256, 0.237, 0.263, 0.253, 0.364, 1.165, 1.385, 0.455, 0.478, 0.722, 0.818, 0.223, 0.217, 0.171, 0.108, 0.135]
8.43 235.0 [0.27, 0.24, 0.242, 0.247, 0.395, 1.204, 1.392, 0.419, -1.0, 0.743, 0.801, 0.216, 0.196, 0.148, 0.1, 0.127]
8.62 235.7 [0.26, 0.235, 0.269, 0.254, 0.417, 1.225, 1.362, 0.42, 0.525, 0.746, 0.824, 0.232, 0.207, 0.161, 0.082, 0.128]
8.81 236.7 [0.27, 0.23, 0.261, 0.255, 0.404, 1.265, 1.385, 0.402, 0.67, 0.758, 0.818, 0.198, 0.206, 0.144, 0.089, 0.149]
9.0 238.4 [0.27, 0.254, 0.255, 0.25, 0.419, 1.353, 1.365, 0.407, 0.703, 0.756, 0.796, 0.221, 0.204, 0.144, 0.105, 0.142]
9.19 242.6 [0.28, 0.246, 0.265, 0.239, 0.439, 1.36, 1.388, 0.413, 0.709, 0.757, 0.806, 0.207, 0.21, 0.135, 0.106, 0.159]
9.38 240.7 [0.265, 0.247, 0.252, 0.259, 0.462, 1.328, 1.435, 0.423, 0.72, 0.78, 0.813, 0.222, 0.22, 0.142, 0.081, 0.179]
9.57 239.4 [0.26, 0.238, 0.254, 0.265, 0.542, 1.341, 1.452, 0.44, 0.708, 0.766, 0.804, 0.211, 0.201, 0.123, 0.113, 0.199]
9.79 244.6 [0.265, 0.251, 0.263, 0.233, 0.534, 1.314, 0.833, 0.425, 0.71, 0.785, 0.821, 0.221, 0.208, 0.141, 0.1, 0.207]
9.98 245.1 [0.273, 0.25, 0.246, 0.256, 0.551, 1.308, 0.619, 0.46, 0.752, 0.774, 0.838, 0.215, 0.206, 0.139, 0.092, 0.201]
10.17 250.5 [0.252, 0.276, 0.254, 0.26, 0.565, 1.313, 0.587, 0.455, -1.0, 0.806, 0.874, 0.201, 0.193, 0.134, 0.082, 0.23]
10.36 248.5 [0.238, 0.253, 0.271, 0.257, 0.571, 1.323, 0.575, 0.458, 0.768, 0.817, 0.907, 0.205, 0.205, 0.099, 0.111, 0.223]
10.55 247.6 [0.229, 0.248, 0.245, 0.274, 0.59, 1.337, 0.612, 0.454, 0.811, 0.805, 0.905, 0.227, 0.197, 0.122, 0.096, 0.212]
10.74 251.0 [0.22, 0.245, 0.252, 0.272, 0.589, -1.0, 0.582, 0.45, 0.794, -1.0, 0.919, 0.197, 0.227, 0.121, 0.108, 0.217]
10.94 246.4 [0.223, 0.254, 0.264, 0.276, 0.606, 1.37, 0.576, 0.461, 0.767, 0.816, 0.911, 0.211, 0.208, 0.13, 0.113, 0.223]
11.13 251.2 [0.246, 0.264, 0.262, 0.276, 0.618, 1.402, 0.581, 0.465, 0.774, 0.828, 0.896, 0.211, 0.195, 0.117, 0.091, 0.237]
11.32 256.5 [0.247, 0.27, 0.235, 0.302, 0.631, 1.41, 0.572, 0.464, 0.786, 0.812, 0.876, 0.208, 0.207, 0.113, 0.1, 0.245]
11.51 254.8 [0.253, 0.251, 0.233, 0.319, 0.885, 1.398, 0.566, 0.457, 0.765, 0.815, 0.879, 0.202, 0.212, 0.112, 0.094, 0.244]
11.7 250.9 [0.255, 0.256, 0.263, 0.33, 0.915, 1.385, -1.0, 0.478, 0.738, 0.806, 0.884, 0.195, 0.196, 0.119, 0.125, 0.241]
11.89 254.8 [0.251, 0.263, 0.243, 0.367, 0.948, 1.402, 0.545, 0.457, 0.757, 0.797, 0.288, 0.216, 0.182, 0.094, 0.115, 0.251]
12.08 256.0 [0.248, 0.273, 0.247, 0.366, 1.149, 1.367, 0.561, 0.47, 0.741, 0.794, 0.24, 0.196, 0.174, 0.118, 0.127, 0.249]
12.27 257.3 [0.256, 0.268, 0.26, 0.372, 1.147, 1.361, 0.434, 0.479, 0.728, 0.819, 0.249, 0.212, 0.173, 0.101, 0.116, 0.255]
12.46 257.7 [0.258, -1.0, 0.238, 0.39, 1.196, 1.374, 0.407, 0.472, 0.745, 0.812, 0.232, 0.216, 0.16, 0.108, 0.126, 0.249]
12.65 258.2 [0.251, 0.277, 0.269, 0.394, 1.227, 1.387, 0.408, 0.507, 0.738, 0.811, 0.219, 0.203, 0.158, 0.116, 0.14, 0.26]
12.84 260.1 [0.233, 0.262, 0.252, 0.407, 1.25, 1.368, 0.415, -1.0, 0.752, 0.799, 0.216, 0.225, 0.151, 0.078, 0.123, 0.266]
13.03 259.4 [0.233, 0.255, 0.247, 0.426, 1.303, 1.372, 0.415, 0.707, 0.745, 0.792, 0.22, 0.211, 0.134, 0.104, 0.128, 0.267]
13.22 259.8 [0.254, 0.274, 0.232, 0.421, 1.352, 1.389, 0.42, 0.717, 0.773, 0.802, 0.195, 0.197, 0.148, 0.116, 0.131, 0.288]
13.42 262.4 [0.234, 0.262, 0.245, 0.462, 1.344, 1.415, 0.427, 0.693, 0.772, 0.801, 0.217, 0.193, 0.143, 0.089, 0.177, 0.267]
13.61 264.7 [0.229, 0.248, 0.244, 0.54, 1.32, 1.429, 0.434, 0.695, 0.778, 0.809, 0.198, 0.22, 0.121, 0.096, 0.206, 0.26]
13.8 265.9 [0.238, 0.276, 0.253, 0.535, 1.334, 1.453, 0.434, 0.728, 0.771, 0.815, 0.22, 0.217, 0.13, 0.096, 0.205, 0.282]
13.99 263.9 [0.24, 0.268, 0.243, 0.526, 1.314, 0.599, 0.439, 0.723, 0.788, 0.83, 0.208, 0.19, 0.126, 0.096, 0.213, 0.233]
14.18 270.1 [0.274, 0.257, 0.262, 0.552, 1.315, 0.59, 0.444, 0.734, 0.804, 0.862, 0.209, -1.0, 0.144, 0.083, 0.216, 0.267]
14.37 267.2 [0.265, 0.261, 0.279, 0.571, 1.325, 0.594, 0.472, 0.74, 0.782, 0.878, 0.218, 0.192, 0.127, 0.112, 0.233, -1.0]
14.56 267.3 [0.23, 0.243, -1.0, 0.578, 1.327, 0.588, 0.441, 0.798, 0.839, 0.904, 0.231, 0.205, 0.135, 0.097, 0.223, 0.271]
14.75 269.3 [0.236, 0.255, 0.272, 0.591, 1.354, 0.59, 0.435, 0.809, 0.826, 0.894, 0.204, 0.199, 0.128, 0.089, 0.225, 0.227]
14.94 273.6 [0.253, 0.259, 0.281, 0.585, 1.374, 0.588, 0.457, 0.802, 0.825, 0.908, 0.208, 0.203, 0.105, 0.099, 0.249, 0.255]
15.13 273.2 [0.268, 0.25, 0.289, 0.611, 1.385, 0.564, 0.453, 0.803, 0.811, 0.891, 0.207, 0.199, 0.134, 0.112, 0.238, 0.23]
15.32 269.9 [0.225, 0.236, 0.293, 0.626, 1.388, 0.585, 0.433, 0.762, 0.82, 0.878, 0.193, 0.224, 0.112, -1.0, 0.246, 0.235]
15.51 275.8 [0.256, 0.234, 0.328, 0.867, 1.397, 0.582, 0.464, 0.767, 0.805, 0.866, 0.194, 0.201, 0.109, 0.104, 0.262, 0.246]
15.7 273.0 [0.259, 0.265, 0.346, 0.922, 1.391, 0.558, 0.459, 0.745, 0.812, 0.859, 0.195, 0.193, 0.121, 0.116, 0.252, 0.247]
15.89 275.9 [0.26, 0.251, 0.367, 0.956, 1.376, 0.549, 0.464, 0.747, 0.804, 0.281, 0.227, 0.171, 0.097, 0.101, 0.249, 0.239]
