1789579562.2 A PING 0.0 0.0 270 n=0
1789579923.4 POSE x=-0.21 y=-0.32 d11=0.328 d3=tick=386653 goal=0 here=0
1789579926.5 POSE x=-0.23 y=-0.35 d11=0.348 d3=tick=386963 goal=0 here=0
1789579929.0 POSE x=-0.22 y=-0.33 d11=0.339 d3=tick=387216 goal=0 here=0
1789579931.8 POSE x=-0.21 y=-0.32 d11=0.334 d3=tick=387497 goal=0 here=0
1789579934.7 POSE x=-0.20 y=-0.31 d11=0.325 d3=tick=387788 goal=0 here=0
1789579937.4 POSE x=-0.19 y=-0.29 d11=0.322 d3=tick=388056 goal=0 here=0
1789579940.4 POSE x=-0.18 y=-0.28 d11=0.354 d3=tick=388357 goal=0 here=0
1789579943.4 POSE x=-0.17 y=-0.26 d11=0.338 d3=tick=388655 goal=0 here=0
1789579946.4 POSE x=-0.16 y=-0.25 d11=0.326 d3=tick=388956 goal=0 here=0
1789579949.2 POSE x=-0.15 y=-0.23 d11=0.307 d3=tick=389232 goal=0 here=0
1789579951.9 POSE x=-0.14 y=-0.22 d11=0.290 d3=tick=389499 goal=0 here=0
1789579955.4 POSE x=-0.13 y=-0.20 d11=0.320 d3=tick=389853 goal=0 here=0
1789579958.2 POSE x=-0.12 y=-0.19 d11=0.332 d3=tick=390137 goal=0 here=0
1789579961.1 POSE x=-0.11 y=-0.17 d11=0.356 d3=tick=390427 goal=0 here=0
1789579963.9 POSE x=-0.10 y=-0.16 d11=0.332 d3=tick=390700 goal=0 here=0
1789579966.5 POSE x=-0.10 y=-0.15 d11=0.316 d3=tick=390966 goal=0 here=0
1789579969.4 POSE x=-0.10 y=-0.15 d11=0.318 d3=tick=391252 goal=0 here=0
1789579972.7 POSE x=-0.09 y=-0.14 d11=0.328 d3=tick=391580 goal=0 here=0
1789579975.5 POSE x=-0.08 y=-0.12 d11=0.340 d3=tick=391863 goal=0 here=0
1789579978.3 POSE x=-0.07 y=-0.11 d11=0.330 d3=tick=392146 goal=0 here=0
