0.22,1,347.7,0.02,-0.01,20,85,BEND,1.01;5.99;1.84;1.07;0.85;0.80;0.89;1.18;2.35;5.98;0.86;0.49;0.38;0.36;0.40;0.51,tick=209170 goal=0 lap=0 last=0.0 best=0.0
0.49,2,351.3,0.06,0.12,20,85,BEND,1.02;6.00;1.81;1.05;0.84;0.80;0.89;1.20;2.47;6.00;0.83;0.48;0.37;0.34;0.38;0.51,tick=209197 goal=0 lap=0 last=0.0 best=0.0
0.75,3,352.9,0.09,0.17,20,82.92,BEND,1.19;6.00;1.62;1.01;0.85;0.82;0.94;1.35;3.13;3.09;0.69;0.41;0.33;0.35;0.38;0.54,tick=209223 goal=0 lap=0 last=0.0 best=0.0
1.02,4,359.2,0.13,0.21,20,75.58333333333333,BEND,1.79;3.50;1.39;0.95;0.85;0.85;1.02;1.58;5.59;1.50;0.55;0.38;0.33;0.33;0.39;0.60,tick=209250 goal=0 lap=0 last=0.0 best=0.0
1.28,5,3.5,0.18,0.25,20,69.14833333333333,BEND,6.00;2.27;1.20;0.91;0.83;0.89;1.14;2.05;6.00;0.91;0.48;0.34;0.32;0.34;0.42;0.73,tick=209277 goal=0 lap=0 last=0.0 best=0.0
1.55,6,12.0,0.20,0.27,38,61.37333333333331,FWD,6.00;1.67;1.05;0.86;0.82;0.95;1.34;3.02;3.37;0.67;0.41;0.33;0.31;0.37;0.49;1.06,tick=209303 goal=0 lap=0 last=0.0 best=0.0
1.81,7,23.2,0.24,0.00,38,59.31000000000002,FWD,3.04;1.29;0.91;0.80;0.84;1.01;1.60;6.00;1.41;0.56;0.38;0.33;0.35;0.41;0.64;2.27,tick=209330 goal=0 lap=0 last=0.0 best=0.0
2.08,8,35.1,0.31,0.39,38,25.28000000000001,FWD,1.74;1.00;0.81;0.74;0.83;1.14;2.24;5.99;0.94;0.53;0.39;0.36;0.42;0.56;1.07;6.00,tick=209356 goal=0 lap=0 last=0.0 best=0.0
2.35,9,42.0,0.35,0.20,20,-20.789166666666663,BEND,1.19;0.77;0.67;0.70;0.81;1.23;3.64;2.50;0.86;0.56;0.48;0.47;0.58;0.82;2.30;3.18,tick=209385 goal=0 lap=0 last=0.0 best=0.0
2.61,10,46.0,0.39,-0.17,20,-76.43666666666668,BEND,0.90;0.63;0.52;0.55;0.69;1.05;3.69;2.62;1.00;0.69;0.58;0.59;0.72;1.09;3.46;2.20,tick=209410 goal=0 lap=0 last=0.0 best=0.0
