6.41,23,179.7,0.28,-0.13,16,-19.679999999999996,BEND,1.25;6.00;1.17;0.55;0.39;0.34;0.39;0.48;0.77;4.48;1.82;0.86;0.65;0.58;0.59;0.73,tick=149819 goal=0 lap=0 last=0.0 best=0.0
6.69,24,177.2,0.29,-0.10,16,51.64,BEND,0.93;3.17;1.85;0.75;0.51;0.44;0.45;0.54;0.82;2.83;2.06;0.83;0.55;0.48;0.49;0.58,tick=149847 goal=0 lap=0 last=0.0 best=0.0
6.97,25,177.1,0.29,0.29,16,64.12,BEND,0.80;2.86;2.09;0.86;0.59;0.52;0.53;0.64;1.02;-1.00;1.61;0.67;0.47;0.41;0.41;0.51,tick=149875 goal=0 lap=0 last=0.0 best=0.0
7.25,26,185.5,0.27,0.36,16,75.47999999999999,BEND,0.95;6.00;1.41;0.80;0.63;0.58;0.64;0.86;1.67;5.99;0.78;0.46;0.35;0.32;0.38;0.48,tick=149903 goal=0 lap=0 last=0.0 best=0.0
7.53,27,197.5,0.28,0.44,16,83.32000000000001,BEND,2.01;2.55;1.05;0.74;0.64;0.67;0.78;1.18;4.26;1.22;0.50;0.35;0.29;0.28;0.36;0.57,tick=149931 goal=0 lap=0 last=0.0 best=0.0
7.81,28,208.6,0.26,0.49,20,23.744999999999997,FWD,6.00;1.35;0.82;0.66;0.63;0.70;0.97;2.11;3.16;0.61;0.37;0.31;0.30;0.30;0.46;0.96,tick=149959 goal=0 lap=0 last=0.0 best=0.0
8.09,29,221.1,0.28,0.16,20,25.749999999999996,FWD,2.10;0.95;0.67;0.61;0.61;0.76;1.24;5.74;1.13;0.51;0.36;0.34;0.34;0.42;0.66;3.15,tick=149987 goal=0 lap=0 last=0.0 best=0.0
8.37,30,227.0,0.28,0.14,16,13.600000000000003,BEND,1.51;0.78;0.59;0.54;0.58;0.75;1.34;6.00;1.05;0.53;0.39;0.37;0.42;0.52;0.93;5.63,tick=150015 goal=0 lap=0 last=0.0 best=0.0
8.65,31,231.3,0.29,0.09,16,4.4799999999999995,BEND,1.16;0.66;0.50;0.49;0.53;0.70;1.38;5.98;1.02;0.59;0.47;0.44;0.48;0.63;1.26;6.00,tick=150043 goal=0 lap=0 last=0.0 best=0.0
8.93,32,229.9,0.30,0.03,16,-63.160000000000004,BEND,0.91;0.56;0.44;0.41;0.46;0.62;1.30;6.00;1.12;0.67;0.53;0.51;0.57;0.78;1.62;5.98,tick=150071 goal=0 lap=0 last=0.0 best=0.0
9.21,33,230.1,0.28,-0.37,16,-72.84,BEND,0.87;0.48;0.35;0.35;0.36;0.49;0.95;6.00;1.43;0.81;0.62;0.57;0.62;0.83;1.55;6.00,tick=150099 goal=0 lap=0 last=0.0 best=0.0
9.49,34,216.2,0.26,-0.42,16,-83.32000000000001,BEND,1.50;0.54;0.34;0.28;0.31;0.34;0.52;1.55;3.10;1.12;0.75;0.64;0.65;0.75;1.12;3.43,tick=150128 goal=0 lap=0 last=0.0 best=0.0
9.77,35,206.4,0.25,-0.45,20,-27.849999999999994,FWD,5.45;0.83;-1.00;0.33;0.28;0.32;0.39;0.69;5.99;1.81;0.91;0.69;0.63;0.67;0.86;1.53,tick=150156 goal=0 lap=0 last=0.0 best=0.0
10.05,36,190.0,0.27,-0.18,30,-28.964999999999996,FWD,2.78;1.86;0.57;0.40;0.32;0.32;0.36;0.52;1.35;3.77;1.15;0.75;0.62;0.62;0.69;1.05,tick=150184 goal=0 lap=0 last=0.0 best=0.0
10.33,37,188.9,0.29,-0.13,20,-20.180000000000003,FWD,1.89;5.79;0.78;0.46;0.34;0.34;0.39;0.55;1.13;6.00;1.25;0.73;0.59;0.56;0.65;0.90,tick=150212 goal=0 lap=0 last=0.0 best=0.0
10.62,38,181.6,0.31,-0.14,16,-7.359999999999998,BEND,1.27;4.95;1.11;0.60;0.44;0.40;0.45;0.58;1.05;6.00;1.36;0.74;0.56;0.49;0.55;0.70,tick=150240 goal=0 lap=0 last=0.0 best=0.0
10.90,39,179.8,0.32,-0.05,16,60.28,BEND,0.97;4.05;1.52;0.77;0.55;0.50;0.52;0.63;1.12;6.00;1.35;0.65;0.46;0.43;0.45;0.56,tick=150268 goal=0 lap=0 last=0.0 best=0.0
11.18,40,182.6,0.30,0.36,16,72.12,BEND,0.91;4.33;1.51;0.82;0.61;0.56;0.62;0.78;1.41;5.99;0.96;0.50;0.39;0.35;0.37;0.48,tick=150296 goal=0 lap=0 last=0.0 best=0.0
11.46,41,196.2,0.29,0.45,16,80.2,BEND,1.73;2.76;1.08;0.73;0.64;0.61;0.75;1.11;3.29;1.49;-1.00;-1.00;0.30;0.33;0.35;0.56,tick=150324 goal=0 lap=0 last=0.0 best=0.0
11.74,42,208.6,0.29,0.46,20,22.099999999999994,FWD,4.58;1.39;0.84;0.65;0.60;0.69;0.95;1.93;4.70;0.68;0.40;0.31;0.30;0.33;0.44;0.92,tick=150352 goal=0 lap=0 last=0.0 best=0.0
12.02,43,220.6,0.28,0.12,20,29.22,FWD,2.14;0.96;0.69;0.60;0.60;0.73;1.17;4.33;1.26;0.52;0.38;0.30;0.34;0.40;0.66;2.48,tick=150380 goal=0 lap=0 last=0.0 best=0.0
12.30,44,220.8,0.30,0.21,20,15.430000000000007,FWD,1.57;0.80;0.59;0.54;0.59;0.74;1.26;6.00;1.11;0.55;0.41;0.36;0.39;0.50;0.86;3.35,tick=150408 goal=0 lap=0 last=0.0 best=0.0
12.58,45,229.3,0.29,0.10,16,1.519999999999997,BEND,1.14;0.65;0.53;0.47;0.53;0.71;1.33;6.00;1.07;0.60;0.47;0.45;0.47;0.62;1.25;4.03,tick=150436 goal=0 lap=0 last=0.0 best=0.0
12.86,46,231.6,0.28,0.01,16,-63.08,BEND,0.90;0.54;0.44;0.41;0.46;0.61;1.25;6.00;1.16;0.68;0.54;0.51;0.56;0.77;1.63;4.12,tick=150464 goal=0 lap=0 last=0.0 best=0.0
13.14,47,223.2,0.29,-0.38,20,-18.819999999999997,FWD,0.85;-1.00;0.35;0.32;0.36;0.48;0.86;6.00;1.53;0.82;0.62;0.57;0.65;0.84;1.57;3.75,tick=150492 goal=0 lap=0 last=0.0 best=0.0
13.42,48,220.9,0.29,-0.12,16,-82.76,BEND,1.07;0.48;0.34;0.29;0.30;0.35;0.55;1.83;2.73;1.06;0.74;0.64;0.66;0.78;1.23;2.74,tick=150520 goal=0 lap=0 last=0.0 best=0.0
13.70,49,211.3,0.29,-0.53,16,-85,BEND,3.87;0.52;0.33;0.28;0.25;0.29;0.41;0.89;6.00;1.38;0.85;0.68;0.68;0.75;1.07;2.09,tick=150548 goal=0 lap=0 last=0.0 best=0.0
13.98,50,196.6,0.29,-0.52,30,-33.2,FWD,2.51;1.01;0.44;0.31;0.25;0.26;0.32;0.50;1.53;3.04;1.13;0.77;0.68;0.67;0.83;1.27,tick=150577 goal=0 lap=0 last=0.0 best=0.0
14.26,51,179.5,0.29,-0.20,20,-28.354999999999997,FWD,1.55;3.16;0.73;0.42;-1.00;0.31;0.33;0.44;0.83;6.00;1.56;0.86;0.67;0.61;0.68;0.88,tick=150605 goal=0 lap=0 last=0.0 best=0.0
14.54,52,177.6,0.31,-0.22,16,-12.480000000000002,BEND,1.12;2.33;3.73;0.57;0.42;0.37;0.41;0.49;0.83;3.60;1.85;0.86;0.60;0.53;0.56;0.69,tick=150633 goal=0 lap=0 last=0.0 best=0.0
14.82,53,171.8,0.32,-0.10,16,55.16,BEND,0.86;1.73;3.35;0.77;0.55;0.46;0.47;0.56;0.88;2.63;2.09;0.76;0.51;0.46;0.45;0.56,tick=150661 goal=0 lap=0 last=0.0 best=0.0
15.10,54,175.2,0.32,0.34,16,70.52000000000001,BEND,0.70;1.54;3.23;0.89;0.60;0.55;0.56;0.73;1.14;3.91;1.40;0.57;0.42;0.36;0.38;0.46,tick=150689 goal=0 lap=0 last=0.0 best=0.0
15.39,55,186.7,0.30,0.38,16,80.84,BEND,0.81;2.20;3.44;0.82;0.65;0.62;0.71;0.97;1.98;4.54;0.62;0.38;0.30;0.30;0.33;0.45,tick=150717 goal=0 lap=0 last=0.0 best=0.0
15.67,56,200.0,0.30,0.47,16,85,BEND,1.26;2.94;3.50;0.73;0.64;0.68;0.85;1.48;6.00;0.79;0.42;0.29;0.26;0.28;0.35;0.53,tick=150745 goal=0 lap=0 last=0.0 best=0.0
15.95,57,217.6,0.30,0.50,20,28.740000000000002,FWD,2.33;3.27;0.84;0.65;0.65;0.77;1.20;3.25;1.33;0.48;0.32;0.27;0.28;0.31;0.43;0.85,tick=150773 goal=0 lap=0 last=0.0 best=0.0
16.23,58,228.4,0.28,0.17,30,26.305,FWD,2.85;3.21;0.64;0.59;0.64;0.84;1.62;6.00;0.80;0.44;0.35;0.31;0.31;0.42;0.64;1.46,tick=150801 goal=0 lap=0 last=0.0 best=0.0
16.51,59,235.8,0.30,0.13,30,11.870000000000001,FWD,2.82;1.48;0.59;0.52;0.59;0.81;1.87;3.98;0.83;0.48;0.40;-1.00;0.38;0.51;0.80;1.86,tick=150829 goal=0 lap=0 last=0.0 best=0.0
16.79,60,234.4,0.35,0.07,30,-2.6800000000000006,FWD,2.72;1.15;0.54;0.45;0.50;0.72;2.07;2.71;0.89;0.58;0.46;0.45;0.48;0.62;1.01;1.99,tick=150857 goal=0 lap=0 last=0.0 best=0.0
17.07,61,242.2,0.35,-0.01,30,-12.584999999999999,FWD,2.55;1.17;0.49;0.40;0.40;0.56;1.77;2.92;1.08;0.69;0.56;0.52;0.58;0.71;1.14;1.98,tick=150885 goal=0 lap=0 last=0.0 best=0.0
17.35,62,238.9,0.40,-0.07,45,-26.154999999999994,FWD,2.31;2.57;0.56;0.40;0.34;0.42;0.87;4.13;1.32;0.84;0.66;0.59;0.63;0.78;1.14;1.82,tick=150913 goal=0 lap=0 last=0.0 best=0.0
17.63,63,233.2,0.43,-0.22,45,-24.1,FWD,2.01;2.26;0.73;0.46;0.40;0.40;0.52;6.00;1.76;1.03;0.78;0.67;0.68;0.79;1.07;1.55,tick=150941 goal=0 lap=0 last=0.0 best=0.0
17.91,64,225.5,0.51,-0.25,30,-21.569999999999993,FWD,1.67;1.93;2.24;0.63;0.49;0.45;0.51;0.76;2.63;1.33;0.91;0.71;0.70;0.76;0.93;1.26,tick=150969 goal=0 lap=0 last=0.0 best=0.0
18.19,65,218.5,0.51,-0.23,20,-4.565000000000008,FWD,1.23;-1.00;1.81;2.48;0.67;0.58;0.60;0.74;4.50;1.71;1.05;0.78;0.67;0.70;0.79;0.96,tick=150997 goal=0 lap=0 last=0.0 best=0.0
18.47,66,211.3,0.49,-0.05,16,65.16,BEND,0.89;1.19;1.49;1.85;3.59;0.74;0.73;0.85;6.00;2.08;1.11;0.77;0.64;0.62;0.61;0.71,tick=151025 goal=0 lap=0 last=0.0 best=0.0
18.75,67,217.7,0.47,0.59,16,85,BEND,0.65;0.95;1.28;1.72;3.93;0.93;0.91;1.12;4.64;1.76;0.91;0.64;0.52;0.47;0.48;0.54,tick=151054 goal=0 lap=0 last=0.0 best=0.0
19.03,68,237.2,0.41,0.00,16,85,BEND,0.67;0.90;1.32;2.62;2.30;0.99;1.17;5.97;2.01;0.99;0.64;0.43;0.40;0.38;0.37;0.46,tick=151082 goal=0 lap=0 last=0.0 best=0.0
