0.21,1,328.1,0.01,-0.06,32,-80,FWD,2.01;2.10;0.64;0.42;0.34;0.33;0.41;0.61;1.91;4.46;2.51;1.86;1.64;1.57;1.66;1.83,tick=173018 goal=0 lap=0 last=0.0 best=0.0
0.47,2,330.4,0.04,-0.05,32,-80,FWD,2.00;2.10;0.64;0.41;0.35;0.33;0.39;0.58;1.85;4.50;2.56;1.86;1.63;1.56;1.68;1.82,tick=173044 goal=0 lap=0 last=0.0 best=0.0
0.73,3,320.7,0.13,-0.21,32,-80,FWD,1.94;2.06;0.80;0.47;0.38;0.35;0.40;0.53;1.37;5.08;2.74;1.94;1.65;1.55;1.60;1.75,tick=173070 goal=0 lap=0 last=0.0 best=0.0
0.99,4,314.5,0.19,-0.33,32,-80,FWD,1.79;2.02;2.01;0.57;0.42;0.39;0.40;0.51;0.93;6.00;3.29;2.10;1.68;1.51;1.52;1.62,tick=173096 goal=0 lap=0 last=0.0 best=0.0
1.25,5,309.7,0.25,-0.41,32,-44.23166666666669,FWD,1.60;1.76;1.91;1.98;0.56;0.46;0.44;0.49;0.77;2.46;4.39;2.42;1.77;1.52;1.44;1.47,tick=173122 goal=0 lap=0 last=0.0 best=0.0
1.51,6,294.9,0.29,-0.27,32,-30.512500000000017,FWD,1.40;1.54;1.78;1.85;1.99;0.56;0.55;0.58;0.73;1.44;5.99;2.93;1.90;1.53;1.36;1.32,tick=173148 goal=0 lap=0 last=0.0 best=0.0
1.77,7,291.4,0.33,-0.20,32,-50.26083333333332,FWD,1.22;1.31;1.54;1.75;1.90;0.78;0.65;0.68;0.80;1.31;6.00;3.42;1.97;1.48;1.24;1.17,tick=173174 goal=0 lap=0 last=0.0 best=0.0
2.03,8,280.6,0.36,-0.40,32,-53.588333333333324,FWD,1.03;1.09;1.25;1.54;1.78;2.03;0.85;0.82;0.91;1.29;3.36;4.32;2.10;1.43;1.13;1.01,tick=173200 goal=0 lap=0 last=0.0 best=0.0
2.29,9,265.5,0.39,-0.42,16,-80,BEND,0.81;0.83;0.96;1.17;1.60;1.88;2.27;0.98;1.04;1.26;2.29;6.00;2.51;1.46;1.03;0.86,tick=173227 goal=0 lap=0 last=0.0 best=0.0
2.56,10,252.5,0.39,-0.66,16,-80,BEND,0.61;-1.00;0.67;0.83;1.13;1.65;2.01;2.52;1.18;1.30;1.77;3.78;4.25;1.68;1.01;0.72,tick=173253 goal=0 lap=0 last=0.0 best=0.0
3.03,11,227.7,0.30,-0.01,16,70,REV,0.39;0.33;0.31;0.36;0.44;0.68;1.25;2.04;2.63;1.50;1.59;2.01;3.57;4.80;1.28;0.61,tick=173300 goal=0 lap=0 last=0.0 best=0.0
3.29,12,227.4,0.13,0.18,16,70,REV,0.28;0.22;0.26;0.26;0.37;0.62;1.28;2.18;2.84;1.60;1.72;2.25;4.40;3.61;0.90;0.41,tick=173326 goal=0 lap=0 last=0.0 best=0.0
3.55,13,232.0,-0.02,-0.06,16,70,REV,0.24;0.20;0.21;0.24;0.34;0.61;1.41;2.25;2.93;1.64;1.78;2.41;5.99;2.69;0.73;0.34,tick=173352 goal=0 lap=0 last=0.0 best=0.0
4.02,14,218.3,-0.16,0.03,16,70,REV,0.36;0.29;0.28;0.31;0.40;0.60;1.16;2.03;2.63;1.57;1.62;2.00;3.45;5.22;1.28;0.56,tick=173399 goal=0 lap=0 last=0.0 best=0.0
4.28,15,222.3,-0.16,-0.20,16,70,REV,0.47;0.37;0.34;0.35;0.46;0.63;1.12;1.94;2.50;1.53;1.52;1.85;3.04;6.00;1.61;0.73,tick=173425 goal=0 lap=0 last=0.0 best=0.0
4.54,16,215.9,-0.14,-0.23,16,70,REV,0.58;0.45;0.40;0.40;0.44;0.61;0.95;1.70;2.25;2.85;1.43;1.62;2.44;6.00;2.46;1.02,tick=173451 goal=0 lap=0 last=0.0 best=0.0
4.80,17,208.9,-0.16,-0.25,16,-80,BEND,0.74;0.55;0.44;0.43;0.47;0.59;0.87;1.41;2.02;2.60;1.34;1.47;2.01;4.15;3.97;1.38,tick=173477 goal=0 lap=0 last=0.0 best=0.0
