0.18,473150,-14.050,-0.015,341.9,327.8,0.658,0.078,92,4.838333333333337,RUN,1.36,0.62,0.55,0.95
0.39,473170,-13.913,-0.059,342.7,329.3,0.686,0.010,92,-1.9733333333333414,RUN,1.31,0.58,0.58,0.95
0.60,473192,-13.782,-0.099,342.7,326.0,0.659,-0.034,92,-3.861666666666674,RUN,1.26,0.57,0.59,0.95
0.82,473208,-13.646,-0.143,341.9,326.6,0.645,-0.094,92,-2.4458333333333324,RUN,1.29,0.57,0.60,0.95
1.02,473238,-13.515,-0.187,341.1,321.9,0.686,-0.078,92,-85,RUN,1.35,0.56,0.60,0.95
1.22,473248,-13.395,-0.232,338.0,324.5,0.638,-0.339,92,10.570833333333328,RUN,1.38,0.59,0.60,0.95
1.41,473248,-13.281,-0.275,339.8,317.8,0.638,0.168,92,-3.3858333333333404,RUN,1.33,0.58,0.59,0.95
1.59,473294,-13.172,-0.315,339.8,321.9,0.635,0.020,92,4.076666666666669,RUN,1.32,0.60,0.58,0.95
1.79,473301,-13.051,-0.360,340.2,322.0,0.640,0.042,92,2.705000000000008,RUN,1.35,0.61,0.58,0.95
1.99,473329,-12.933,-0.400,341.5,324.9,0.661,-0.130,92,9.055833333333323,RUN,1.47,0.61,0.57,0.95
2.20,473350,-12.793,-0.446,342.0,330.6,0.749,0.024,92,3.4408333333333365,RUN,1.47,0.61,0.57,0.95
2.40,473350,-12.641,-0.498,339.5,315.7,0.810,-0.503,77.45,25.84166666666666,RUN,1.24,0.62,0.56,0.80
0.14,476072,-12.551,-0.529,338.2,105.0,-0.021,0.017,0,-70,REV,0.11,1.50,0.14,-1.00
0.32,476087,-12.565,-0.523,339.5,106.4,-0.107,0.161,0,-70,REV,0.12,1.42,0.15,-1.00
0.51,476115,-12.592,-0.514,341.7,110.7,-0.166,0.212,0,-70,REV,0.18,1.28,0.18,-1.00
0.70,476133,-12.619,-0.506,343.7,119.8,-0.147,0.205,0,-70,REV,0.21,1.17,0.20,-1.00
