0.00,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.01,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,5.3,-0.012,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,0.0,359.4,0.013,0.001,0,70,REV,0.10,0.14,1.49
0.02,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.02,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.02,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.02,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.02,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.02,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.03,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.03,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.03,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
0.03,0,-0.000,-0.000,360.0,359.4,0.013,-0.028,0,70,REV,0.11,0.13,1.49
