7.32,23,94.0,0.06,-0.05,-45,-94.5,REV,0.18;0.27;0.89;3.77;1.52;1.05;0.94;0.94;1.12;1.75;6.00;0.61;0.23;0.16;0.14;0.14,tick=127512 goal=0 lap=0 last=0.0 best=0.0
7.64,24,89.3,-0.09,0.17,-45,-0.0,REV,-1.00;0.26;0.83;3.83;1.54;1.07;0.92;0.93;1.14;1.78;6.00;0.57;0.23;0.17;0.13;0.14,tick=127544 goal=0 lap=0 last=0.0 best=0.0
7.96,25,94.3,-0.15,0.02,-45,100,REV,0.25;0.44;2.35;2.76;1.31;0.97;0.85;0.91;1.12;1.88;5.99;0.67;0.29;0.23;0.19;0.20,tick=127576 goal=0 lap=0 last=0.0 best=0.0
8.29,26,90.5,-0.16,-0.30,-45,-94.5,REV,0.35;0.51;1.58;3.42;1.32;0.91;0.79;0.79;0.94;1.46;4.70;1.26;0.47;0.32;0.28;0.29,tick=127608 goal=0 lap=0 last=0.0 best=0.0
8.61,27,85.3,-0.15,0.29,-45,-94.5,REV,0.41;0.61;1.52;4.17;1.28;0.85;0.70;0.69;0.81;1.20;3.13;2.23;0.69;0.45;0.38;0.34,tick=127640 goal=0 lap=0 last=0.0 best=0.0
8.93,28,95.4,-0.15,0.24,18,62.99999999999999,FWD,0.58;1.01;6.00;1.79;0.93;0.67;0.61;0.67;0.84;1.46;6.00;1.28;0.64;0.48;0.43;0.47,tick=127672 goal=0 lap=0 last=0.0 best=0.0
9.25,29,100.0,-0.09,-0.12,18,62.99999999999999,FWD,0.71;1.39;6.00;1.36;0.76;0.60;0.56;0.60;0.82;1.60;5.98;1.20;0.68;0.52;0.47;0.54,
9.57,30,97.0,-0.02,-0.02,18,62.99999999999999,FWD,0.72;1.28;5.98;1.44;0.76;0.59;0.52;0.57;0.74;1.36;5.99;1.44;0.76;0.57;0.53;0.57,tick=127736 goal=0 lap=0 last=0.0 best=0.0
9.89,31,97.0,0.06,0.00,18,62.99999999999999,FWD,0.72;1.30;6.00;1.41;0.78;0.59;0.55;0.57;0.77;1.42;5.99;1.38;0.72;0.54;0.51;0.56,tick=127769 goal=0 lap=0 last=0.0 best=0.0
10.21,32,103.8,0.09,0.11,18,62.99999999999999,FWD,0.71;1.41;5.99;1.32;0.76;0.58;0.57;0.63;0.86;1.66;6.00;1.15;0.67;0.52;0.49;0.54,tick=127801 goal=0 lap=0 last=0.0 best=0.0
10.53,33,107.2,0.13,0.14,18,62.99999999999999,FWD,0.74;1.70;4.45;1.23;0.76;0.64;0.62;0.71;1.01;2.42;3.37;0.87;0.55;0.46;0.45;0.50,tick=127833 goal=0 lap=0 last=0.0 best=0.0
