0.00 0.00 0.0 | 0.62,0.00 0.36,-0.15 0.23,-0.23 0.08,-0.20 0.00,-0.17 -0.17,-0.17 -0.39,-0.16 -0.93,-0.00 -0.92,0.38 -0.39,0.39 -0.35,0.84 -0.00,0.81 0.35,0.85 0.79,0.79 0.59,0.25
0.06 -0.00 358.6 | 0.65,-0.02 0.40,-0.15 0.27,-0.22 0.14,-0.21 0.06,-0.18 -0.01,-0.17 -0.13,-0.19 -0.35,-0.16 -0.90,0.02 -0.74,0.84 -0.27,0.86 0.08,0.82 0.42,0.81 0.88,0.77 0.56,0.19
0.13 0.00 1.6 | 0.64,0.01 0.48,-0.13 0.33,-0.19 0.23,-0.22 0.13,-0.20 0.06,-0.17 -0.08,-0.22 -0.17,-0.13 -0.89,-0.03 -0.82,0.36 -0.73,0.81 -0.26,0.87 0.11,0.52 0.43,0.80 0.88,0.79 0.56,0.19
0.19 0.00 1.8 | 0.67,0.02 0.60,-0.15 0.38,-0.18 0.29,-0.22 0.20,-0.20 0.12,-0.18 0.02,-0.18 -0.14,-0.15 -0.88,-0.03 -0.60,0.30 -0.67,0.82 -0.20,0.87 0.18,0.38 0.48,0.77 0.92,0.78 0.58,0.18
0.25 0.00 358.9 | 0.67,-0.01 0.60,-0.15 0.41,-0.16 0.33,-0.19 0.25,-0.22 0.17,-0.19 0.06,-0.18 -0.11,-0.14 -0.88,0.02 -0.56,0.36 -0.58,0.86 -0.10,0.90 0.26,0.62 1.07,0.79 0.60,0.14
0.32 -0.00 356.5 | 0.69,-0.03 0.62,-0.15 0.45,-0.15 0.38,-0.19 0.30,-0.24 0.21,-0.22 0.11,-0.19 -0.09,-0.14 -0.85,0.07 -0.49,0.39 -0.51,0.93 0.01,0.89 0.37,0.83 0.69,0.76 1.19,0.77 0.63,0.11
0.28 0.00 346.6 | 0.66,-0.09 0.57,-0.20 0.41,-0.20 0.32,-0.22 0.23,-0.22 0.15,-0.18 0.08,-0.12 -0.12,-0.06 -0.67,0.23 -0.68,0.70 -0.48,1.24 0.12,1.01 0.38,0.42 0.77,0.68
0.35 -0.01 350.7 | 0.68,-0.06 0.61,-0.17 0.48,-0.20 0.39,-0.19 0.31,-0.21 0.22,-0.21 -0.09,-0.11 -0.71,0.17 -0.70,0.64 -0.47,1.13 0.11,0.99 0.45,0.60 0.77,0.67 1.13,0.56 0.65,0.07
0.27 0.03 334.6 | 0.62,-0.14 0.39,-0.31 0.26,-0.17 0.18,-0.17 0.12,-0.11 0.09,-0.04 0.03,0.04 -0.10,0.20 -0.48,0.86 0.33,1.22 0.67,0.87 0.90,0.59 1.12,0.33 1.14,-0.02
0.33 0.02 354.6 | 0.72,-0.01 0.62,-0.13 0.45,-0.12 0.38,-0.15 0.31,-0.19 0.22,-0.19 0.13,-0.14 -0.10,-0.11 -0.86,0.14 -0.60,0.52 -0.48,1.00 0.04,0.95 0.41,0.85 0.72,0.76 1.14,0.69 0.64,0.12
