0.2,0.00,0.00,198.6,0.33,0.29,0.45,0.39,0.39,0.55,1.06,1.27,0.21,0.25,0.50,0.58,0.69,0.79,1.44,0.26,0,0
0.3,0.00,0.00,207.7,0.31,0.42,0.42,0.38,0.42,0.59,1.17,1.23,0.23,0.27,0.53,0.59,0.69,0.93,0.27,0.25,0,0
0.5,-0.00,-0.00,203.4,0.30,0.32,0.44,0.37,0.42,0.56,1.08,1.27,0.22,0.27,0.52,0.57,0.70,0.82,1.42,0.26,0,0
0.6,-0.00,-0.00,205.4,0.31,0.41,0.41,0.38,0.43,0.57,1.14,1.23,0.24,0.27,0.55,0.61,0.69,0.95,0.28,0.27,0,0
0.8,-0.00,-0.00,204.8,0.31,0.34,0.42,0.38,0.42,0.56,1.10,1.24,0.23,0.24,0.52,0.58,0.67,0.83,1.42,0.24,0,0
0.9,0.00,0.00,206.1,0.31,0.42,0.41,0.35,0.43,0.59,1.13,1.24,0.23,0.26,0.55,0.60,0.68,0.94,0.26,0.25,0,0
1.1,-0.00,0.00,203.1,0.32,0.33,0.43,0.38,0.42,0.56,1.11,1.26,0.24,0.28,0.52,0.57,0.69,0.84,1.41,0.25,0,0
1.2,0.00,0.00,207.4,0.30,0.42,0.44,0.36,0.42,0.57,1.13,1.22,0.24,0.27,0.55,0.59,0.71,0.96,0.29,0.26,0,0
1.4,-0.01,-0.00,200.3,0.31,0.32,0.43,0.35,0.40,0.56,1.10,1.25,0.21,0.26,0.54,0.56,0.70,0.82,1.39,0.24,0,0
1.6,-0.00,-0.00,201.3,0.31,0.32,0.42,0.38,0.42,0.56,1.11,1.25,0.23,0.28,0.53,0.57,0.68,0.83,1.41,0.26,0,0
1.8,0.00,0.00,214.8,0.28,0.45,0.44,0.36,0.45,0.76,1.21,0.43,0.24,0.29,0.58,0.68,0.75,1.11,0.28,0.34,0,0
1.9,0.00,0.00,212.7,0.30,0.45,0.42,0.36,0.46,0.60,1.25,0.44,0.24,0.28,0.59,0.67,0.72,1.03,0.28,0.30,0,0
2.1,0.00,0.00,201.8,0.32,0.32,0.43,0.37,0.41,0.56,1.12,1.29,0.21,0.25,0.54,0.59,0.70,0.81,1.43,-1.00,0,0
2.2,0.00,0.00,201.8,0.31,0.43,0.42,0.38,0.44,0.56,1.14,1.24,0.24,0.26,0.57,0.60,0.69,0.95,0.28,0.27,0,0
2.4,-0.00,0.00,200.0,0.30,0.30,0.43,0.37,0.40,0.56,1.11,1.26,0.21,0.27,0.54,0.58,0.69,0.80,1.42,0.26,0,0
2.6,0.00,0.00,201.1,0.32,0.29,0.44,0.39,0.39,0.56,1.09,1.26,0.21,0.26,0.53,0.56,0.68,0.82,1.42,0.27,0,0
3.4,0.14,0.10,215.6,0.33,0.50,0.46,0.40,0.48,0.76,1.18,0.37,0.18,0.23,0.58,0.61,0.70,1.00,0.30,0.32,0,0
3.6,0.14,0.11,206.0,0.37,0.50,0.47,0.38,0.45,0.59,1.26,0.38,0.19,0.22,0.48,0.56,0.68,0.94,1.41,-1.00,0,0
3.8,0.14,0.11,207.4,0.35,0.48,0.48,0.39,0.45,0.58,1.24,0.39,0.21,0.22,0.49,0.56,0.69,0.95,1.39,0.29,0,0
3.9,0.15,0.11,217.5,0.34,0.48,0.44,0.40,0.53,0.83,1.15,0.21,0.21,0.21,0.57,0.64,0.74,1.13,0.30,0.34,0,0
4.1,0.14,0.11,210.4,0.33,0.50,0.45,0.39,0.49,0.80,1.19,0.36,0.22,0.22,0.56,0.62,0.72,1.01,0.29,0.33,0,0
4.2,0.14,0.11,205.9,0.35,0.47,0.44,0.39,0.47,0.57,1.16,0.41,0.19,0.20,0.48,0.53,0.67,0.82,1.42,0.27,0,0
4.4,0.14,0.11,206.9,0.35,0.48,0.46,0.39,0.45,0.59,1.26,0.40,0.20,0.22,0.50,0.56,0.68,0.95,1.40,0.30,0,0
4.6,0.15,0.11,217.1,0.32,0.48,0.43,0.41,0.53,0.84,1.17,0.23,0.22,0.21,0.59,0.65,0.73,1.15,0.29,0.32,0,0
4.7,0.15,0.11,214.3,0.34,0.48,0.44,0.37,0.55,0.84,1.18,0.22,0.20,0.23,0.56,0.63,0.73,1.14,0.31,0.34,0,0
4.9,0.14,0.11,205.8,0.34,0.49,0.46,0.38,0.43,0.61,1.26,0.38,0.19,0.24,0.51,0.56,0.71,0.94,1.40,0.30,0,0
5.0,0.14,0.11,208.8,0.34,0.51,0.46,0.37,0.46,0.73,1.22,0.40,0.21,0.23,0.60,0.59,0.71,0.99,1.39,0.30,0,0
5.2,0.14,0.11,219.2,0.33,0.47,0.41,0.42,0.52,0.88,1.20,0.20,0.21,0.24,0.54,0.67,0.82,1.28,0.28,0.36,0,0
5.4,0.15,0.11,211.0,0.32,0.50,0.42,0.39,0.52,0.84,1.19,0.21,0.21,0.25,0.58,0.65,0.73,1.17,0.30,0.34,0,0
5.5,0.14,0.11,205.6,0.35,0.47,0.46,0.38,0.45,0.57,1.16,0.41,0.19,0.23,0.47,0.55,0.69,0.81,1.44,0.28,0,0
5.7,0.14,0.11,205.5,0.35,0.47,0.48,0.38,0.45,0.60,1.25,0.40,0.19,0.24,0.50,0.57,0.70,0.96,1.41,0.28,0,0
5.8,0.15,0.11,215.4,0.33,0.50,0.43,0.40,0.53,0.83,1.18,0.22,0.20,-1.00,0.56,0.64,0.73,1.17,0.30,0.34,0,0
6.0,0.15,0.11,226.6,0.35,0.48,0.37,0.45,0.54,1.08,1.22,0.19,0.19,0.46,0.53,0.65,0.81,1.36,0.29,0.36,0,0
6.1,0.14,0.11,218.2,0.33,0.45,0.38,0.42,0.56,1.02,1.23,0.17,0.21,0.26,0.53,0.68,0.83,1.32,0.28,0.37,0,0
6.3,0.15,0.11,214.6,0.34,0.51,0.46,0.39,0.49,0.80,-1.00,0.38,0.19,0.21,0.57,0.61,0.72,1.04,0.32,0.31,0,0
6.4,0.14,0.11,208.2,0.35,0.46,0.46,0.36,0.45,-1.00,1.15,0.42,0.20,0.22,0.49,0.55,0.66,0.83,1.42,0.31,0,0
6.6,0.14,0.11,208.9,0.36,0.48,0.46,0.38,0.44,0.61,1.25,0.41,0.20,0.22,0.52,0.55,0.69,0.97,1.41,0.28,0,0
