1787898845.4,-0.00,0.00,338.7,0.35,0.25,0.40,0.46,0.80,3.00,0.57,0.39,0.71,2.72,0.65,0.39,0.80,0.72,0.81,0.48
1787898856.3,0.21,2.22,84.2,2.16,0.95,0.41,0.29,0.30,0.29,0.39,0.56,1.51,0.75,0.44,0.25,0.20,0.24,0.32,0.48
1787898858.7,0.31,2.82,80.3,0.79,1.58,0.49,0.34,0.33,0.28,0.40,0.61,1.74,0.97,0.35,0.23,0.22,0.18,0.21,0.38
1787898859.2,0.31,2.82,79.5,0.78,1.58,0.51,0.34,0.35,0.28,0.40,0.63,1.75,0.96,0.36,0.23,0.22,0.20,0.19,0.37
1787898862.8,0.31,3.29,91.1,2.57,0.79,0.36,0.31,0.26,0.36,0.48,0.83,1.85,0.51,0.31,0.20,0.17,0.25,0.30,0.38
1787898871.2,0.34,3.05,274.9,1.84,0.38,0.28,0.19,0.16,0.20,0.28,0.45,2.63,0.71,0.41,0.31,0.36,0.33,0.51,1.46
1787898879.1,0.37,3.25,78.9,0.95,1.46,0.60,0.37,0.32,0.33,0.38,0.61,1.89,1.07,0.35,0.20,0.16,0.18,0.24,0.38
1787898885.7,0.38,3.24,291.4,0.52,0.32,0.16,0.17,0.19,0.22,0.36,1.77,1.09,0.57,0.37,0.31,0.39,0.39,0.80,1.91
1787898892.9,0.37,3.26,117.0,0.76,0.37,0.33,0.29,0.39,0.54,1.53,1.93,0.39,0.27,0.17,0.18,0.21,0.32,0.39,2.60
1787898900.9,0.18,5.54,94.2,1.75,0.62,0.35,0.38,0.25,0.33,0.40,0.74,2.73,0.46,0.27,0.24,0.27,0.27,0.31,0.66
1787898906.5,0.12,7.66,90.0,1.05,1.08,0.35,0.30,0.24,0.24,0.37,0.76,2.98,0.58,0.36,0.25,0.22,0.25,0.30,0.56
1787898910.0,0.20,8.68,86.8,0.61,0.71,0.94,0.36,0.31,0.28,0.40,0.71,2.99,0.65,0.33,0.16,0.19,0.22,0.25,0.36
1787898912.8,0.20,8.67,109.1,0.67,0.83,0.38,0.32,0.28,0.37,0.55,2.76,0.69,0.35,0.17,0.17,0.21,0.26,0.32,0.61
1787898920.0,0.21,8.66,293.0,0.43,0.30,0.17,0.18,0.20,0.28,0.59,0.70,0.72,1.04,0.34,0.31,0.32,0.42,0.87,3.00
1787898926.5,0.19,8.67,147.7,0.38,0.34,0.27,0.38,0.52,1.63,0.82,0.34,0.17,0.14,0.23,0.23,0.31,0.65,0.65,0.76
1787898932.8,0.10,8.46,248.5,0.65,3.00,0.59,0.31,0.25,0.15,0.26,0.30,0.65,0.79,0.81,1.09,0.33,0.24,0.31,0.34
1787898940.1,-0.13,6.26,270.0,1.90,1.09,0.48,0.38,0.28,0.31,0.41,0.70,1.49,0.58,0.34,0.21,0.17,0.20,0.31,0.35
1787898947.7,-0.12,6.28,85.2,1.55,0.40,0.26,0.21,0.19,0.22,0.30,0.50,2.93,0.94,0.45,0.36,0.28,0.30,0.46,0.77
1787898951.9,0.06,6.87,73.3,0.59,1.28,0.56,0.29,0.29,0.23,0.28,0.48,0.77,3.00,0.57,0.28,0.24,0.25,0.28,0.35
1787898955.8,0.15,7.47,80.1,1.07,1.13,0.41,0.32,0.28,0.24,0.34,0.50,1.27,1.06,0.35,0.28,0.21,0.18,0.27,0.35
1787898962.6,-0.12,9.13,99.6,0.49,0.58,0.90,0.23,0.23,0.26,0.25,0.63,2.11,0.56,0.33,0.34,0.30,0.30,0.52,0.51
1787898973.5,0.12,7.66,282.2,1.88,0.41,0.30,0.21,0.20,0.28,0.31,0.66,1.00,0.59,0.36,0.27,0.25,0.30,0.40,1.05
1787898980.1,0.11,7.64,67.4,0.57,1.08,1.06,0.34,0.28,0.26,0.23,0.40,0.77,3.00,0.53,0.34,0.23,0.19,0.26,0.29
1787898986.4,0.11,7.62,283.3,0.88,0.38,0.28,0.22,0.22,0.29,0.32,1.03,1.07,0.55,0.34,0.26,0.27,0.35,0.53,1.49
1787898990.8,0.00,7.16,254.0,0.88,2.48,0.60,0.29,0.29,0.27,0.28,0.43,0.80,1.17,0.47,0.28,0.23,0.25,0.29,0.39
1787898998.7,0.07,4.80,271.6,2.46,0.82,0.44,0.30,0.26,0.24,0.43,0.61,2.07,0.61,0.30,0.27,0.25,0.27,0.32,0.53
1787899003.2,0.22,4.16,279.9,0.88,0.35,0.28,0.27,0.17,0.29,0.33,1.14,1.28,0.47,0.33,0.33,0.25,0.33,0.57,1.80
1787899010.9,0.05,1.83,267.8,1.41,0.93,0.41,0.33,0.28,0.29,0.40,0.68,3.00,0.59,0.29,0.27,0.20,0.24,0.32,1.00
1787899012.4,0.02,1.63,266.6,1.34,1.11,0.58,0.36,0.28,0.29,0.36,0.56,1.99,0.79,0.34,0.26,0.21,0.22,0.30,1.01
1787899017.4,-0.36,-0.16,252.7,0.73,0.71,0.84,0.58,0.46,0.40,0.54,0.72,1.58,0.59,0.37,0.50,1.15,3.00,0.49,0.34
1787899023.2,0.01,-0.93,294.7,0.49,0.46,0.33,0.31,0.34,0.42,0.90,2.89,0.64,0.87,1.69,1.64,0.97,0.55,0.43,0.41
